date,year_low
"June 19, 2018",274.69
"June 18, 2018",274.69
"June 15, 2018",274.69
"June 14, 2018",274.69
"June 13, 2018",274.69
"June 12, 2018",274.69
"June 11, 2018",273.73
"June 8, 2018",273.73
"June 7, 2018",273.73
"June 6, 2018",273.73
"June 5, 2018",273.73
"June 4, 2018",273.73
"June 1, 2018",273.73
"May 31, 2018",273.73
"May 30, 2018",273.73
"May 29, 2018",273.73
"May 25, 2018",273.73
"May 24, 2018",273.73
"May 23, 2018",273.73
"May 22, 2018",273.73
"May 21, 2018",273.73
"May 18, 2018",268.11
"May 17, 2018",266.01
"May 16, 2018",266.01
"May 15, 2018",266.01
"May 14, 2018",266.01
"May 11, 2018",266.01
"May 10, 2018",266.01
"May 9, 2018",266.01
"May 8, 2018",266.01
"May 7, 2018",266.01
"May 4, 2018",266.01
"May 3, 2018",266.01
"May 2, 2018",266.01
"May 1, 2018",266.01
"April 30, 2018",266.01
"April 27, 2018",266.01
"April 26, 2018",266.01
"April 25, 2018",266.01
"April 24, 2018",266.01
"April 23, 2018",266.01
"April 20, 2018",266.01
"April 19, 2018",266.01
"April 18, 2018",266.01
"April 17, 2018",266.01
"April 16, 2018",266.01
"April 13, 2018",266.01
"April 12, 2018",266.01
"April 11, 2018",266.01
"April 10, 2018",266.01
"April 9, 2018",266.01
"April 6, 2018",266.01
"April 5, 2018",266.01
"April 4, 2018",266.01
"April 3, 2018",266.01
"April 2, 2018",266.01
"March 29, 2018",266.01
"March 28, 2018",266.01
"March 27, 2018",266.01
"March 26, 2018",264.04
"March 23, 2018",264.04
"March 22, 2018",264.04
"March 21, 2018",264.04
"March 20, 2018",264.04
"March 19, 2018",264.04
"March 16, 2018",264.04
"March 15, 2018",264.04
"March 14, 2018",264.04
"March 13, 2018",264.04
"March 12, 2018",264.04
"March 9, 2018",264.04
"March 8, 2018",264.04
"March 7, 2018",264.04
"March 6, 2018",264.04
"March 5, 2018",264.04
"March 2, 2018",264.04
"March 1, 2018",264.04
"Feb. 28, 2018",264.04
"Feb. 27, 2018",264.04
"Feb. 26, 2018",264.04
"Feb. 23, 2018",263.18
"Feb. 22, 2018",263.18
"Feb. 21, 2018",263.18
"Feb. 20, 2018",263.18
"Feb. 16, 2018",263.18
"Feb. 15, 2018",262.73
"Feb. 14, 2018",261.07
"Feb. 13, 2018",261.07
"Feb. 12, 2018",261.02
"Feb. 9, 2018",258.00
"Feb. 8, 2018",256.80
"Feb. 7, 2018",256.40
"Feb. 6, 2018",255.58
"Feb. 5, 2018",254.11
"Feb. 2, 2018",251.50
"Feb. 1, 2018",250.34
"Jan. 31, 2018",249.98
"Jan. 30, 2018",249.96
"Jan. 29, 2018",249.96
"Jan. 26, 2018",249.96
"Jan. 25, 2018",249.55
"Jan. 24, 2018",248.00
