date,operating_pe_ratio
"Nov. 17, 2017",10.28
"Nov. 16, 2017",10.28
"Nov. 15, 2017",10.41
"Nov. 14, 2017",10.57
"Nov. 13, 2017",10.49
"Nov. 10, 2017",10.29
"Nov. 9, 2017",10.26
"Nov. 8, 2017",10.30
"Nov. 7, 2017",10.29
"Nov. 6, 2017",10.14
"Nov. 3, 2017",10.21
"Nov. 2, 2017",10.15
"Nov. 1, 2017",10.01
"Oct. 31, 2017",10.02
"Oct. 30, 2017",10.03
"Oct. 27, 2017",10.03
"Oct. 26, 2017",9.941
"Oct. 25, 2017",9.988
"Oct. 24, 2017",9.961
"Oct. 23, 2017",9.906
"Oct. 20, 2017",9.866
"Oct. 19, 2017",9.914
"Oct. 18, 2017",9.876
"Oct. 17, 2017",9.871
"Oct. 16, 2017",9.889
"Oct. 13, 2017",9.781
"Oct. 12, 2017",9.707
"Oct. 11, 2017",9.587
"Oct. 10, 2017",9.547
"Oct. 9, 2017",9.482
"Oct. 6, 2017",9.510
"Oct. 5, 2017",9.560
"Oct. 4, 2017",9.520
"Oct. 3, 2017",9.432
"Oct. 2, 2017",9.507
"Sept. 30, 2017",
"Sept. 29, 2017",9.890
"Sept. 28, 2017",9.820
"Sept. 27, 2017",9.754
"Sept. 26, 2017",9.759
"Sept. 25, 2017",9.872
"Sept. 22, 2017",9.746
"Sept. 21, 2017",9.754
"Sept. 20, 2017",9.691
"Sept. 19, 2017",9.788
"Sept. 18, 2017",9.820
"Sept. 15, 2017",9.875
"Sept. 14, 2017",10.00
"Sept. 13, 2017",9.924
"Sept. 12, 2017",9.946
"Sept. 11, 2017",10.10
"Sept. 8, 2017",10.02
"Sept. 7, 2017",9.985
"Sept. 6, 2017",9.859
"Sept. 5, 2017",9.872
"Sept. 1, 2017",9.856
"Aug. 31, 2017",9.943
"Aug. 30, 2017",9.935
"Aug. 29, 2017",10.03
"Aug. 28, 2017",10.05
"Aug. 25, 2017",10.06
"Aug. 24, 2017",10.07
"Aug. 23, 2017",10.06
"Aug. 22, 2017",10.04
"Aug. 21, 2017",9.966
"Aug. 18, 2017",9.974
"Aug. 17, 2017",9.872
"Aug. 16, 2017",10.01
"Aug. 15, 2017",9.935
"Aug. 14, 2017",9.872
"Aug. 11, 2017",9.846
"Aug. 10, 2017",9.909
"Aug. 9, 2017",9.898
"Aug. 8, 2017",10.03
"Aug. 7, 2017",10.03
"Aug. 4, 2017",10.02
"Aug. 3, 2017",10.09
"Aug. 2, 2017",10.09
"Aug. 1, 2017",10.12
"July 31, 2017",10.07
"July 28, 2017",10.08
"July 27, 2017",9.974
"July 26, 2017",9.893
"July 25, 2017",9.720
"July 24, 2017",9.767
"July 21, 2017",9.840
"July 20, 2017",9.872
"July 19, 2017",9.817
"July 18, 2017",9.756
"July 17, 2017",9.722
"July 14, 2017",9.468
"July 13, 2017",9.378
"July 12, 2017",9.470
"July 11, 2017",9.378
"July 10, 2017",9.389
"July 7, 2017",9.342
"July 6, 2017",9.368
"July 5, 2017",9.326
"July 3, 2017",9.410
"June 30, 2017",9.470
"June 29, 2017",8.614
"June 28, 2017",8.698
"June 27, 2017",8.835
"June 26, 2017",8.944
"June 23, 2017",8.773
"June 22, 2017",8.811
"June 21, 2017",8.814
"June 20, 2017",8.867
"June 19, 2017",8.855
"June 16, 2017",8.912
"June 15, 2017",8.850
"June 14, 2017",8.819
"June 13, 2017",8.785
"June 12, 2017",8.768
"June 9, 2017",8.802
"June 8, 2017",8.749
"June 7, 2017",8.799
"June 6, 2017",8.819
"June 5, 2017",8.804
"June 2, 2017",8.797
"June 1, 2017",8.828
"May 31, 2017",8.727
"May 30, 2017",8.667
"May 26, 2017",8.610
"May 25, 2017",8.66
"May 24, 2017",8.607
"May 23, 2017",8.501
"May 22, 2017",8.540
"May 19, 2017",8.427
"May 18, 2017",8.432
"May 17, 2017",8.376
"May 16, 2017",8.295
"May 15, 2017",8.340
"May 12, 2017",8.203
"May 11, 2017",8.052
"May 10, 2017",8.114
"May 9, 2017",8.074
"May 8, 2017",8.235
"May 5, 2017",8.254
"May 4, 2017",8.184
"May 3, 2017",8.167
"May 2, 2017",8.283
"May 1, 2017",8.251
"April 28, 2017",8.324
"April 27, 2017",8.374
"April 26, 2017",8.388
"April 25, 2017",8.432
"April 24, 2017",8.533
"April 21, 2017",8.420
"April 20, 2017",8.424
"April 19, 2017",8.523
"April 18, 2017",8.600
"April 17, 2017",8.629
"April 13, 2017",8.646
"April 12, 2017",8.698
"April 11, 2017",8.686
"April 10, 2017",8.607
"April 7, 2017",8.646
"April 6, 2017",8.718
"April 5, 2017",8.667
"April 4, 2017",8.686
"April 3, 2017",8.610
"March 31, 2017",8.648
"March 30, 2017",10.16
"March 29, 2017",10.22
"March 28, 2017",10.15
"March 27, 2017",10.20
"March 24, 2017",10.28
"March 23, 2017",10.23
"March 22, 2017",10.33
"March 21, 2017",10.23
"March 20, 2017",10.12
"March 17, 2017",10.25
"March 16, 2017",10.24
"March 15, 2017",10.32
"March 14, 2017",10.14
"March 13, 2017",10.23
"March 10, 2017",10.23
"March 9, 2017",10.18
"March 8, 2017",10.16
"March 7, 2017",10.28
"March 6, 2017",10.26
"March 3, 2017",10.33
"March 2, 2017",10.36
"March 1, 2017",10.26
"Feb. 28, 2017",10.45
"Feb. 27, 2017",10.41
"Feb. 24, 2017",10.58
"Feb. 23, 2017",10.24
"Feb. 22, 2017",10.15
"Feb. 21, 2017",10.22
"Feb. 17, 2017",10.12
"Feb. 16, 2017",10.08
"Feb. 15, 2017",10.02
"Feb. 14, 2017",10.06
"Feb. 13, 2017",9.987
"Feb. 10, 2017",9.964
"Feb. 9, 2017",9.916
"Feb. 8, 2017",10.02
"Feb. 7, 2017",10.25
"Feb. 6, 2017",10.19
"Feb. 3, 2017",10.18
"Feb. 2, 2017",10.19
"Feb. 1, 2017",10.09
"Jan. 31, 2017",10.21
"Jan. 30, 2017",9.970
"Jan. 27, 2017",9.981
"Jan. 26, 2017",10.04
"Jan. 25, 2017",10.06
"Jan. 24, 2017",9.996
"Jan. 23, 2017",10.04
"Jan. 20, 2017",10.19
"Jan. 19, 2017",10.17
"Jan. 18, 2017",10.16
"Jan. 17, 2017",10.21
"Jan. 13, 2017",10.08
"Jan. 12, 2017",10.08
"Jan. 11, 2017",10.07
"Jan. 10, 2017",9.976
"Jan. 9, 2017",10.04
"Jan. 6, 2017",10.27
"Jan. 5, 2017",10.10
"Jan. 4, 2017",10.10
"Jan. 3, 2017",10.01
"Dec. 31, 2016",
