Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Reconciled Depreciation,14.22M,13.42M,13.80M,13.21M,12.70M,12.67M,11.99M,11.98M,11.46M,11.41M,11.09M,10.75M,10.64M,10.13M,9.57M,9.149M,9.515M,9.431M,9.34M,8.664M,7.595M,8.48M,8.40M,8.418M,7.513M,7.748M,7.531M,7.296M,6.565M,7.16M,7.173M,7.159M,6.578M,6.26M,6.355M,6.076M,5.578M,5.735M,5.599M,5.989M,5.155M,3.107M,3.067M,3.048M,2.913M,3.002M,2.751M,2.579M,3.033M,2.997M,3.213M,3.153M,2.999M,2.829M,2.799M,2.719M,2.566M,2.568M,2.581M,2.559M,2.486M,2.523M,2.442M,2.440M,2.692M,2.570M,2.620M,2.615M,3.458M,2.257M,1.934M,2.775M,2.918M,1.236M,2.386M,2.554M,1.221M,2.319M,2.225M,2.280M,2.00M,1.80M,1.70M,2.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,28.54M,14.01M,17.12M,43.95M,28.44M,12.88M,12.99M,40.47M,25.59M,14.48M,13.06M,34.40M,21.45M,10.13M,15.73M,36.35M,16.47M,10.94M,13.00M,37.64M,19.27M,7.76M,10.86M,31.63M,18.27M,8.821M,9.176M,26.84M,18.60M,7.428M,10.61M,20.27M,15.70M,6.243M,7.803M,24.86M,14.18M,4.685M,7.75M,25.51M,12.80M,2.231M,2.868M,16.00M,9.041M,1.170M,4.329M,14.04M,8.816M,0.9856M,3.688M,14.58M,8.171M,0.3227M,3.205M,11.44M,8.191M,-0.0991M,2.325M,11.50M,164.81M,0.2827M,2.163M,10.70M,6.254M,0.1526M,2.862M,12.31M,5.748M,-0.2782M,1.946M,8.946M,3.985M,0.0564M,2.144M,10.04M,5.320M,-0.7451M,1.385M,10.07M,4.70M,-0.60M,2.043M,8.70M,4.70M,-1.30M,1.00M,7.10M,4.40M,-0.60M,1.80M,6.30M,3.50M,-0.60M,1.50M,9.40M,4.00M,2.00M,1.90M,6.30M,2.70M,0.10M,0.20M,6.70M,24.70M,13.90M,17.30M,30.00M,23.70M,12.50M,15.30M,24.40M,16.90M,11.90M,15.00M,26.00M,24.20M,14.70M,16.70M,31.40M,22.70M,13.50M,18.80M,25.30M,16.80M,10.50M,11.90M,19.40M,14.40M,10.70M,12.90M,17.70M,11.80M,7.40M,11.40M,19.10M,12.40M,9.00M,8.20M,16.30M,19.30M,19.50M,15.00M,15.00M
EPS Basic from Continuing Operations,1.05,0.38,0.51,1.75,1.09,0.37,0.39,1.64,1.60,0.42,0.37,1.17,0.73,0.29,0.52,1.33,0.56,0.34,0.41,1.45,0.69,0.22,0.35,1.22,0.67,0.27,0.30,1.033,0.69,0.2267,0.3533,0.7467,0.5533,0.1667,0.2467,0.96,0.50,0.1133,0.2333,0.9867,0.5067,0.0267,0.08,0.84,0.4333,-0.02,0.18,0.74,0.4067,-0.0333,0.1467,0.7933,0.4267,-0.06,0.1267,0.6867,0.4667,-0.08,0.0933,0.72,0.4333,-0.0667,0.0733,0.6733,0.38,-0.0867,0.1133,0.7933,0.3333,-0.10,0.0667,0.60,0.2467,-0.0867,0.08,0.6733,0.3267,-0.1333,0.04,0.7267,0.4267,-0.10,0.1067,0.6467,0.3067,-0.1667,0.0333,0.5333,0.3333,-0.1067,0.10,0.5067,0.1867,-0.1133,0.0733,0.9067,0.1867,0.18,0.14,0.6667,0.20,-0.0467,-0.02,0.6933,0.32,-0.1267,,0.5533,0.28,-0.1267,0.0267,0.4933,0.22,-0.10,-0.04,0.52,0.1867,-0.08,-0.0133,0.5133,0.3933,-0.12,0.06,0.4533,,-0.04,0.0667,0.5067,,0.0533,0.10,0.4733,,0.02,0.12,0.3733,,0.1667,0.0667,0.2867,,0.2467,0.1467,0.2867
EPS Basic from Discontinued Operations,0.33,-0.04,,,0.00,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.0067,-0.0133,0.00,0.00,0.00,0.00,0.00,0.00,0.0067,-0.0067,0.00,0.00,-0.0533,-0.0133,0.00,-0.02,-0.1951,-0.0133,0.00,-0.2333,-0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.0133,0.0133,0.00,0.00,0.00,-0.1133,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Basic from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Basic EPS,1.05,0.38,0.5043,1.75,1.09,0.37,0.3844,1.64,1.60,0.42,0.3652,1.17,0.73,0.29,0.5148,1.33,0.56,0.34,0.3509,1.45,0.6793,0.22,0.35,1.22,0.67,0.27,0.30,1.033,0.69,0.2267,0.3533,0.7467,0.5533,0.1385,0.2455,0.9591,0.50,0.1085,0.2338,0.9818,0.4994,0.0283,0.0793,0.8381,0.4267,-0.0142,0.1762,0.7390,0.4058,-0.0325,0.1319,0.7901,0.4229,-0.0592,0.1221,0.6813,0.4630,-0.0813,0.0767,0.7142,0.4333,-0.0692,0.0675,0.6660,0.3667,-0.0849,0.1107,0.7894,0.3252,-0.1025,0.0633,0.5841,0.2173,-0.0913,0.0714,0.6629,0.3259,-0.1453,0.0353,0.7245,0.3525,-0.1075,0.0978,0.6385,0.3151,-0.1667,0.025,0.525,0.3333,-0.1149,0.0909,0.4977,0.1798,-0.1236,0.0645,0.8964,0.1939,0.168,0.1292,0.6667,0.2333,-0.056,-0.02,0.6821,0.32,-0.1267,,0.5533,0.28,-0.1267,0.0267,0.4933,0.22,-0.10,-0.04,0.52,0.1867,-0.08,-0.0133,0.5133,0.3933,-0.12,0.06,0.4533,,-0.04,0.0667,0.5067,,0.0533,0.10,0.4733,,0.02,0.12,0.3733,,0.1667,0.0667,0.2867,,0.2467,0.1467,0.2867
EPS Basic,1.38,0.34,0.51,1.75,1.09,0.34,0.39,1.64,1.60,0.42,0.37,1.17,0.73,0.29,0.52,1.33,0.56,0.34,0.41,1.45,0.69,0.22,0.35,1.22,0.67,0.27,0.30,1.033,0.69,0.2267,0.3533,0.7467,0.5533,0.1667,0.2467,0.96,0.50,0.1133,0.2333,0.9867,0.5067,0.0267,0.08,0.84,0.4333,-0.02,0.18,0.74,0.4067,-0.0333,0.1467,0.7933,0.42,-0.0733,0.1267,0.6867,0.4667,-0.08,0.0933,0.72,0.44,-0.0733,0.0733,0.6733,0.3267,-0.10,0.1133,0.7733,0.60,-0.1133,0.0667,0.3667,0.1667,-0.0867,0.08,0.6733,0.3267,-0.1333,0.04,0.7267,0.4267,-0.10,0.1067,0.6467,0.3067,-0.1667,0.0333,0.5333,0.3333,-0.1067,0.10,0.5067,0.1867,-0.1133,0.0733,0.9067,0.1867,0.18,0.14,0.6667,0.20,-0.0467,-0.02,0.6933,0.32,-0.1267,,0.5667,0.2933,-0.1267,0.0267,0.4933,0.1067,-0.10,-0.04,0.52,0.1867,-0.08,-0.0133,0.5133,0.3933,-0.12,0.06,0.4533,,-0.04,0.0667,0.5067,,0.0533,0.10,0.4733,,0.02,0.12,0.3733,,0.1667,0.0667,0.2867,,0.2467,0.1467,0.2867
EPS Diluted from Continuing Operations,1.04,0.38,0.50,1.74,1.08,0.37,0.39,1.64,1.59,0.42,0.37,1.17,0.73,0.29,0.52,1.33,0.56,0.33,0.41,1.44,0.69,0.22,0.35,1.22,0.67,0.27,0.30,1.027,0.6767,0.22,0.3467,0.74,0.5533,0.1667,0.2467,0.9533,0.50,0.1133,0.2333,0.98,0.50,0.0267,0.08,0.8267,0.4267,-0.02,0.18,0.7333,0.40,-0.0333,0.1467,0.7867,0.42,-0.06,0.1267,0.6733,0.4667,-0.08,0.0933,0.70,0.4267,-0.0667,0.0733,0.66,0.3667,-0.0867,0.1133,0.7733,0.3333,-0.10,0.0667,0.58,0.24,-0.0867,0.08,0.6533,0.3133,-0.1333,0.04,0.70,0.4133,-0.10,0.10,0.6267,0.30,-0.1667,0.0333,0.5133,0.3267,-0.1067,0.10,0.48,0.1867,-0.1133,0.0733,0.8667,0.1867,0.1733,0.14,0.6333,0.1933,-0.0467,-0.02,0.6533,0.3067,-0.1267,,0.5267,0.28,-0.1267,0.0267,0.4933,0.22,-0.10,-0.04,0.4867,0.1867,-0.08,-0.0133,0.4867,0.3933,-0.12,0.06,0.4533,,-0.04,0.0667,0.5067,,0.0533,0.10,0.4733,,0.02,0.12,0.3733,,0.1667,0.0667,0.2867,,0.2467,0.1467,0.2867
EPS Diluted from Discontinued Operations,0.33,-0.04,,,0.00,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.0067,-0.0133,0.00,0.00,0.00,0.00,0.00,0.00,0.0067,-0.0067,0.00,-0.0067,-0.0533,-0.0133,0.00,-0.02,-0.1951,-0.0133,0.00,-0.2333,-0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.0067,0.0133,0.00,0.00,0.00,-0.1133,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00
EPS Diluted from Extraordinaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026,,,-0.2346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002,,,0.0178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalized Diluted EPS,1.04,0.38,0.4943,1.74,1.08,0.37,0.3844,1.64,1.59,0.42,0.3652,1.17,0.73,0.29,0.5148,1.33,0.56,0.33,0.3511,1.44,0.6794,0.22,0.35,1.22,0.67,0.27,0.30,1.027,0.6767,0.22,0.3467,0.74,0.5533,0.1388,0.2455,0.9524,0.50,0.1085,0.2338,0.9751,0.4928,0.0283,0.0793,0.8248,0.4201,-0.0142,0.1763,0.7323,0.3991,-0.0325,0.1322,0.7835,0.4165,-0.0592,0.1221,0.6681,0.4630,-0.0813,0.0767,0.6944,0.4267,-0.0692,0.0675,0.6529,0.3536,-0.0849,0.1107,0.7695,0.3252,-0.1025,0.0633,0.5646,0.2124,-0.0913,0.0714,0.6432,0.3126,-0.1453,0.0353,0.6979,0.3419,-0.1075,0.0917,0.6187,0.3081,-0.1667,0.025,0.5053,0.3267,-0.1149,0.0909,0.4715,0.1798,-0.1236,0.0645,0.8568,0.1938,0.1618,0.1292,0.6333,0.2256,-0.056,-0.02,0.6427,0.3067,-0.1267,,0.5267,0.28,-0.1267,0.0267,0.4933,0.22,-0.10,-0.04,0.4867,0.1867,-0.08,-0.0133,0.4867,0.3933,-0.12,0.06,0.4533,,-0.04,0.0667,0.5067,,0.0533,0.10,0.4733,,0.02,0.12,0.3733,,0.1667,0.0667,0.2867,,0.2467,0.1467,0.2867
EPS Diluted,1.37,0.34,0.50,1.74,1.08,0.34,0.39,1.64,1.59,0.42,0.37,1.17,0.73,0.29,0.52,1.33,0.56,0.33,0.41,1.44,0.69,0.22,0.35,1.22,0.67,0.27,0.30,1.027,0.6767,0.22,0.3467,0.74,0.5533,0.1667,0.2467,0.9533,0.50,0.1133,0.2333,0.98,0.50,0.0267,0.08,0.8267,0.4267,-0.02,0.18,0.7333,0.40,-0.0333,0.1467,0.7867,0.4133,-0.0733,0.1267,0.6733,0.4667,-0.08,0.0933,0.70,0.4333,-0.0733,0.0733,0.6533,0.32,-0.10,0.1133,0.7533,0.60,-0.1133,0.0667,0.3533,0.16,-0.0867,0.08,0.6533,0.3133,-0.1333,0.04,0.70,0.4133,-0.10,0.10,0.6267,0.30,-0.1667,0.0333,0.5133,0.3267,-0.1067,0.10,0.48,0.1867,-0.1133,0.0733,0.8667,0.1867,0.1733,0.14,0.6333,0.1933,-0.0467,-0.02,0.6533,0.3067,-0.1267,,0.5333,0.2933,-0.1267,0.0267,0.4933,0.1067,-0.10,-0.04,0.4867,0.1867,-0.08,-0.0133,0.4867,0.3933,-0.12,0.06,0.4533,,-0.04,0.0667,0.5067,,0.0533,0.10,0.4733,,0.02,0.12,0.3733,,0.1667,0.0667,0.2867,,0.2467,0.1467,0.2867
Average Basic Shares Outstanding,16.40M,16.40M,16.40M,16.38M,16.38M,16.38M,16.37M,16.35M,16.34M,16.34M,16.34M,16.32M,16.31M,15.37M,15.32M,15.29M,15.27M,15.26M,15.24M,14.60M,14.59M,14.57M,14.56M,14.49M,14.45M,14.44M,14.43M,14.40M,14.39M,14.39M,14.38M,14.36M,14.35M,14.35M,14.34M,14.30M,14.28M,14.24M,14.20M,14.13M,13.01M,10.32M,10.29M,10.25M,10.24M,10.22M,10.22M,10.19M,10.16M,10.13M,10.11M,10.06M,9.316M,8.960M,8.928M,8.857M,8.883M,8.778M,8.528M,8.657M,8.368M,8.948M,8.600M,8.524M,8.397M,8.599M,8.242M,8.373M,8.015M,8.255M,7.945M,8.166M,7.870M,8.084M,8.334M,7.969M,7.754M,7.835M,7.989M,7.809M,7.736M,8.00M,7.50M,7.577M,7.404M,7.80M,9.00M,7.50M,7.50M,7.50M,7.00M,6.711M,9.889M,6.176M,6.818M,6.618M,9.527M,5.556M,5.714M,5.55M,5.500M,6.429M,5.00M,5.337M,5.257M,5.526M,5.294M,5.294M,5.659M,5.526M,3.75M,5.068M,5.548M,5.00M,5.00M,5.192M,5.440M,5.00M,5.065M,5.065M,4.636M,5.00M,5.00M,4.412M,3.864M,2.428M,2.427M,2.421M,3.555M,3.550M,3.550M,3.550M,3.550M,3.544M,3.544M,3.54M,3.54M,3.537M,3.537M,3.537M,3.537M,3.526M,3.524M,3.486M
Average Diluted Shares Outstanding,16.46M,16.45M,16.45M,16.43M,16.43M,16.43M,16.42M,16.40M,16.40M,16.39M,16.38M,16.36M,16.35M,15.41M,15.35M,15.33M,15.32M,15.31M,15.28M,14.66M,14.66M,14.62M,14.61M,14.54M,14.56M,14.55M,14.54M,14.52M,14.50M,14.51M,14.52M,14.50M,14.49M,14.49M,14.48M,14.45M,14.43M,14.25M,14.34M,14.29M,13.23M,10.33M,10.30M,10.41M,10.42M,10.23M,10.38M,10.36M,10.32M,10.13M,10.27M,10.23M,10.05M,8.960M,8.945M,9.072M,8.883M,8.778M,8.528M,8.904M,8.524M,8.948M,8.600M,8.784M,8.577M,8.599M,8.242M,8.595M,8.015M,8.255M,7.945M,8.465M,8.392M,8.084M,8.334M,8.212M,8.173M,7.835M,7.989M,8.147M,8.036M,8.00M,8.00M,7.819M,7.696M,7.80M,9.00M,7.792M,7.756M,7.50M,7.00M,7.083M,9.889M,6.176M,6.818M,6.923M,9.589M,5.769M,5.714M,5.842M,5.687M,6.429M,5.00M,5.663M,5.646M,5.526M,5.625M,5.625M,5.659M,5.526M,3.75M,5.068M,5.548M,5.00M,5.548M,5.548M,5.440M,5.00M,5.342M,5.342M,4.636M,5.00M,5.00M,4.412M,3.864M,2.428M,2.427M,2.421M,3.555M,3.550M,3.550M,3.550M,3.550M,3.544M,3.544M,3.54M,3.54M,3.537M,3.537M,3.537M,3.537M,3.526M,3.524M,3.486M
Dividend Per Share,0.405,0.405,0.405,0.37,0.37,0.37,0.37,0.325,0.325,0.325,0.325,0.305,0.305,0.305,0.305,0.2875,0.2875,0.2875,0.2875,0.27,0.27,0.27,0.27,0.2567,0.2567,0.2567,0.2567,0.2433,0.2433,0.2433,0.2433,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2033,0.2033,0.2033,0.2033,0.1967,0.1967,0.1967,0.1967,0.1933,0.1933,0.1933,0.1933,0.19,0.19,0.19,0.19,0.1867,0.1867,0.1867,0.1867,0.1833,0.1833,0.1833,0.1833,0.1833,0.1833,0.1833,0.1833,0.1833,0.1833,0.1833,0.1833,0.18,0.18,0.18,0.18,0.1733,0.1733,0.1733,0.1733,0.1667,0.1667,0.1667,0.1667,0.1667,0.1617,0.1617,0.1617,0.1617,0.155,0.1553,0.1553,0.1553,0.15,0.15,0.15,0.15,0.1467,0.1467,0.1467,0.1467,0.1433,0.1433,0.1433,0.1433,0.1433,0.1433,0.1433,0.1433,0.1433,0.1433,0.1433,0.1433,0.1433,0.1433,0.1405,0.1405,0.1405,0.1389,0.1389,0.1388,0.1389,0.1389,0.1333,0.1333,0.1333,0.1333,0.1278,0.1278,0.1278,0.1259,0.1259,0.1259,0.1186,0.1186,0.1186,0.1186,0.1186,,,
As Originally Reported,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,AOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restated,,,,,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
