Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Total Payables,957.30M,801.60M,844.60M,1.018B,1.192B,724.30M,728.50M,787.40M,893.30M,722.70M,706.90M,758.20M,818.50M,594.40M,602.80M,671.30M,679.20M,602.30M,714.60M,999.20M,880.80M,842.20M,896.90M,1.215B,1.060B,836.50M,799.50M,936.40M,920.60M,671.10M,647.30M,749.60M,823.90M,645.20M,715.70M,877.90M,1.069B,686.50M,777.90M,919.30M,937.60M,665.60M,832.70M,1.193B,1.456B,561.10M,728.30M,819.00M,713.00M,512.80M,1.110B,659.50M,713.10M,523.80M,392.60M,602.50M,867.80M,599.00M,454.60M,565.90M,649.50M,356.80M,544.50M,487.90M,498.40M,459.50M,564.20M,793.20M,490.50M,393.90M,453.40M,514.50M,648.40M,596.40M,552.80M,803.20M,1.118B,401.70M,383.50M,302.20M,290.30M,298.20M,276.40M,288.20M,282.50M,219.40M,231.40M,234.80M,257.60M,208.40M,207.30M,327.70M,280.00M,172.90M,183.40M,207.70M,179.90M,141.60M,141.50M,173.10M,185.80M,173.70M,178.40M,228.90M
Accrued Expenses,408.90M,400.60M,411.70M,431.70M,269.20M,528.40M,178.90M,203.40M,203.10M,208.40M,183.60M,143.70M,186.20M,138.60M,189.60M,175.30M,250.60M,199.20M,601.70M,478.80M,285.20M,490.30M,489.40M,399.10M,465.40M,380.30M,409.00M,337.90M,443.40M,315.60M,336.40M,309.90M,412.90M,322.20M,344.40M,310.40M,458.10M,363.50M,382.40M,349.20M,436.20M,450.20M,381.70M,392.40M,465.30M,2.175B,2.371B,2.220B,1.590B,1.460B,1.058B,1.853B,1.822B,1.742B,1.983B,2.084B,1.637B,1.542B,1.288B,1.680B,1.322B,1.182B,1.228B,1.521B,1.314B,1.328B,1.396B,1.924B,1.346B,1.580B,1.470B,2.271B,1.828B,1.794B,1.788B,2.336B,3.214B,727.85M,564.16M,496.26M,353.70M,242.10M,230.40M,325.60M,185.70M,192.50M,184.10M,270.00M,225.50M,231.40M,229.90M,294.90M,178.20M,127.00M,137.20M,205.50M,129.30M,179.60M,189.50M,218.00M,117.90M,119.40M,142.00M,210.80M
Payables and Accrued Expenses,1.366B,1.202B,1.256B,1.449B,1.461B,1.253B,907.40M,990.80M,1.096B,931.10M,890.50M,901.90M,1.005B,733.00M,792.40M,846.60M,929.80M,801.50M,1.316B,1.478B,1.166B,1.332B,1.386B,1.614B,1.526B,1.217B,1.208B,1.274B,1.364B,986.70M,983.70M,1.060B,1.237B,967.40M,1.060B,1.188B,1.527B,1.05B,1.160B,1.268B,1.374B,1.116B,1.214B,1.586B,1.921B,2.736B,3.100B,3.039B,2.303B,1.972B,2.168B,2.512B,2.535B,2.266B,2.376B,2.687B,2.504B,2.141B,1.743B,2.246B,1.972B,1.539B,1.773B,2.009B,1.813B,1.788B,1.961B,2.717B,1.837B,1.974B,1.924B,2.785B,2.476B,2.391B,2.341B,3.140B,4.332B,1.130B,947.66M,798.46M,644.00M,540.30M,506.80M,613.80M,468.20M,411.90M,415.50M,504.80M,483.10M,439.80M,437.20M,622.60M,458.20M,299.90M,320.60M,413.20M,309.20M,321.20M,331.00M,391.10M,303.70M,293.10M,320.40M,439.70M
Current Provisions - Legal & Other,20.10M,20.00M,21.80M,18.90M,18.90M,20.40M,36.00M,33.60M,32.10M,27.50M,29.30M,33.80M,37.40M,38.60M,37.30M,37.40M,37.60M,36.80M,34.50M,25.40M,22.70M,15.30M,18.90M,25.50M,32.30M,34.20M,43.10M,41.10M,42.20M,36.80M,35.60M,37.00M,43.90M,28.90M,46.00M,68.20M,86.00M,73.20M,83.90M,97.50M,146.10M,209.50M,328.30M,322.40M,375.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Paper Liability,570.00M,505.00M,911.00M,980.00M,978.00M,746.00M,0.00,1.054B,869.00M,581.00M,603.00M,1.075B,1.178B,824.00M,881.50M,460.00M,321.40M,0.00,0.00,39.00M,792.60M,1.105B,801.10M,297.50M,433.60M,612.50M,117.60M,686.50M,499.60M,,,,402.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liability on Credit Line,353.20M,260.10M,320.00M,500.00M,399.20M,265.00M,0.00,513.40M,336.70M,262.20M,298.30M,439.00M,310.00M,235.00M,219.20M,385.30M,246.00M,107.20M,161.80M,275.00M,784.30M,205.80M,300.00M,515.00M,265.10M,208.30M,260.10M,444.70M,277.30M,,,,956.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Borrowings,863.40M,860.90M,860.70M,651.40M,650.00M,648.60M,1.198B,262.70M,284.30M,289.80M,561.20M,809.30M,363.10M,582.60M,311.90M,263.80M,433.70M,442.60M,442.60M,462.70M,266.60M,18.70M,530.00M,530.50M,542.10M,541.20M,70.70M,89.30M,507.20M,1.049B,1.094B,2.015B,327.30M,1.242B,900.40M,1.299B,1.417B,,,,103.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Portion of Long Term Debt,1.787B,1.626B,2.092B,2.131B,2.027B,1.660B,1.198B,1.83B,1.49B,1.133B,1.462B,2.324B,1.851B,1.642B,1.413B,1.109B,1.001B,549.80M,604.40M,776.70M,1.844B,1.330B,1.631B,1.343B,1.241B,1.362B,448.40M,1.220B,1.284B,1.049B,1.094B,2.015B,1.687B,1.242B,900.40M,1.299B,1.417B,1.452B,931.60M,1.094B,103.00M,633.80M,424.00M,436.00M,1.633B,1.283B,549.10M,714.00M,1.095B,733.90M,1.078B,710.10M,1.286B,1.323B,861.80M,821.90M,1.339B,2.213B,1.260B,1.300B,1.608B,1.046B,509.60M,339.70M,803.80M,1.317B,1.786B,1.376B,2.138B,2.025B,1.694B,1.117B,2.252B,1.951B,2.035B,2.266B,2.562B,838.03M,944.68M,813.06M,824.80M,738.80M,657.40M,289.10M,417.80M,383.80M,273.60M,198.50M,267.30M,278.80M,361.90M,430.20M,573.90M,494.50M,359.10M,291.00M,360.10M,265.90M,90.60M,185.00M,340.80M,292.50M,356.90M,149.40M
Current Capital Lease Obligation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Debt & Capital Lease Obligation,1.787B,1.626B,2.092B,2.131B,2.027B,1.660B,1.198B,1.83B,1.49B,1.133B,1.462B,2.324B,1.851B,1.642B,1.413B,1.109B,1.001B,549.80M,604.40M,776.70M,1.844B,1.330B,1.631B,1.343B,1.241B,1.362B,448.40M,1.220B,1.284B,1.049B,1.094B,2.015B,1.687B,1.242B,900.40M,1.299B,1.417B,1.452B,931.60M,1.094B,822.70M,633.80M,424.00M,436.00M,1.633B,1.283B,549.10M,714.00M,1.095B,733.90M,1.078B,710.10M,1.286B,1.323B,861.80M,821.90M,1.339B,2.213B,1.260B,1.300B,1.608B,1.046B,509.60M,339.70M,803.80M,1.317B,1.786B,1.376B,2.138B,2.025B,1.694B,1.117B,2.252B,1.951B,2.035B,2.266B,2.562B,838.03M,944.68M,813.06M,824.80M,738.80M,657.40M,289.10M,417.80M,383.80M,273.60M,198.50M,267.30M,278.80M,361.90M,430.20M,573.90M,494.50M,359.10M,291.00M,360.10M,265.90M,90.60M,185.00M,340.80M,292.50M,356.90M,149.40M
Current Deferred Revenue,256.40M,242.80M,159.10M,152.60M,238.90M,238.40M,158.00M,154.70M,262.60M,253.10M,168.60M,166.30M,264.10M,255.20M,186.70M,218.30M,316.30M,264.70M,228.50M,198.10M,284.30M,263.60M,250.40M,247.30M,281.10M,270.50M,169.80M,210.00M,312.40M,294.50M,211.80M,225.70M,323.30M,284.80M,188.10M,189.40M,324.90M,4.50M,10.10M,11.50M,328.50M,8.70M,20.20M,11.00M,14.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Liabilities,256.40M,242.80M,159.10M,152.60M,238.90M,238.40M,158.00M,154.70M,262.60M,253.10M,168.60M,166.30M,264.10M,255.20M,186.70M,218.30M,316.30M,264.70M,228.50M,198.10M,284.30M,263.60M,250.40M,247.30M,281.10M,270.50M,169.80M,210.00M,312.40M,294.50M,211.80M,225.70M,323.30M,284.80M,188.10M,189.40M,324.90M,4.50M,10.10M,11.50M,328.50M,8.70M,20.20M,11.00M,14.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liability,160.20M,103.00M,150.50M,152.10M,140.90M,86.70M,125.50M,101.90M,101.90M,55.10M,83.70M,131.60M,133.50M,107.20M,142.50M,176.80M,231.40M,289.40M,334.70M,274.30M,475.70M,101.10M,138.50M,104.90M,92.40M,116.00M,192.10M,222.40M,310.50M,333.90M,310.10M,354.60M,329.10M,340.60M,340.20M,327.50M,288.20M,672.00M,531.50M,525.90M,454.90M,941.90M,955.50M,923.00M,639.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10M,,0.10M,,-0.10M,0.10M,-0.10M,0.10M,,0.20M,-0.10M,0.10M,-0.10M,-0.10M,-0.10M,0.10M,,,,,,
Total Current Liabilities,3.746B,3.340B,3.814B,4.015B,4.037B,3.411B,2.560B,3.226B,3.178B,2.567B,2.778B,3.664B,3.452B,2.912B,2.696B,2.496B,2.658B,2.073B,2.524B,2.758B,3.964B,3.048B,3.431B,3.341B,3.178B,3.006B,2.068B,2.974B,3.319B,2.727B,2.662B,3.718B,3.646B,2.887B,2.558B,3.096B,3.666B,3.251B,2.717B,2.997B,3.150B,2.910B,2.942B,3.278B,4.583B,4.019B,3.649B,3.753B,3.398B,2.706B,3.246B,3.222B,3.821B,3.588B,3.237B,3.509B,3.843B,4.354B,3.003B,3.545B,3.579B,2.585B,2.282B,2.348B,2.616B,3.105B,3.747B,4.093B,3.975B,3.999B,3.617B,3.902B,4.729B,4.342B,4.376B,5.406B,6.893B,1.968B,1.892B,1.612B,1.469B,1.279B,1.164B,902.90M,886.10M,795.70M,689.00M,703.40M,750.30M,718.70M,799.10M,1.053B,1.032B,794.50M,679.60M,704.10M,669.20M,587.20M,421.60M,576.10M,644.50M,585.60M,677.30M,589.10M
Long Term Provisions - Legal & Other,416.90M,373.10M,367.60M,358.40M,352.00M,346.90M,334.60M,269.90M,268.70M,268.50M,267.20M,261.30M,262.60M,272.30M,257.40M,253.10M,254.00M,181.20M,204.70M,160.90M,136.20M,175.20M,178.00M,176.50M,174.40M,175.50M,167.10M,165.30M,160.40M,152.00M,149.70M,148.40M,146.40M,140.50M,138.90M,140.10M,138.80M,,,,138.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of Long Term Debt,7.856B,7.854B,7.110B,7.110B,7.105B,7.094B,7.092B,7.287B,7.512B,7.519B,6.777B,5.591B,6.058B,6.096B,5.857B,5.906B,5.948B,6.134B,8.881B,7.958B,8.099B,8.397B,7.641B,7.638B,7.484B,7.089B,7.617B,6.804B,6.753B,6.820B,6.807B,5.834B,6.228B,6.337B,6.34B,5.928B,5.936B,5.964B,5.977B,5.964B,5.969B,6.561B,6.564B,6.452B,5.944B,6.323B,6.060B,5.383B,5.594B,5.923B,5.124B,5.153B,5.146B,5.173B,5.164B,5.230B,5.271B,4.779B,4.807B,4.810B,4.836B,5.589B,5.573B,5.945B,5.993B,5.513B,5.042B,5.294B,4.850B,5.793B,5.930B,5.749B,5.781B,6.113B,6.126B,5.799B,5.803B,1.737B,1.916B,1.927B,1.776B,1.842B,1.844B,1.967B,1.668B,1.670B,1.671B,1.671B,1.668B,1.609B,1.608B,1.372B,1.127B,1.191B,1.255B,1.252B,1.176B,1.176B,1.344B,1.184B,1.180B,1.187B,1.072B,1.215B
Long Term Cap Lease Obligation,,,,,,,,,,,,,,,,,,,,,52.80M,,,,109.50M,,,,66.40M,,,,39.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Portion of LTD and Capital Lease Obligation,7.856B,7.854B,7.110B,7.110B,7.105B,7.094B,7.092B,7.287B,7.512B,7.519B,6.777B,5.591B,6.058B,6.096B,5.857B,5.906B,5.948B,6.134B,8.881B,7.958B,8.152B,8.397B,7.641B,7.638B,7.593B,7.089B,7.617B,6.804B,6.819B,6.820B,6.807B,5.834B,6.267B,6.337B,6.34B,5.928B,5.936B,5.964B,5.977B,5.964B,5.969B,6.561B,6.564B,6.452B,5.944B,6.323B,6.060B,5.383B,5.594B,5.923B,5.124B,5.153B,5.146B,5.173B,5.164B,5.230B,5.271B,4.779B,4.807B,4.810B,4.836B,5.589B,5.573B,5.945B,5.993B,5.513B,5.042B,5.294B,4.850B,5.793B,5.930B,5.749B,5.781B,6.113B,6.126B,5.799B,5.803B,1.737B,1.916B,1.927B,1.776B,1.842B,1.844B,1.967B,1.668B,1.670B,1.671B,1.671B,1.668B,1.609B,1.608B,1.372B,1.127B,1.191B,1.255B,1.252B,1.176B,1.176B,1.344B,1.184B,1.180B,1.187B,1.072B,1.215B
Long Term Deferred Tax Liabilities,1.495B,1.477B,1.483B,1.402B,1.342B,1.303B,1.409B,1.397B,1.305B,2.632B,2.630B,2.657B,2.541B,2.398B,2.427B,2.441B,2.380B,2.529B,3.839B,3.820B,2.183B,3.559B,3.491B,3.412B,3.299B,3.155B,3.086B,3.004B,2.978B,2.784B,2.757B,2.679B,2.571B,2.460B,2.400B,2.373B,2.227B,2.243B,2.111B,2.091B,2.058B,2.043B,1.715B,1.651B,1.596B,1.589B,1.572B,1.546B,1.520B,1.605B,1.595B,1.604B,1.615B,1.549B,1.563B,1.611B,1.662B,1.758B,1.699B,1.772B,1.744B,1.720B,1.695B,1.698B,1.676B,1.686B,1.670B,1.977B,1.608B,1.916B,1.976B,1.880B,1.832B,1.849B,1.957B,1.978B,1.920B,1.021B,1.074B,1.083B,1.053B,1.077B,1.087B,1.050B,765.40M,729.00M,738.00M,746.60M,757.30M,738.30M,741.60M,743.80M,711.00M,714.10M,712.80M,711.30M,712.60M,700.30M,701.90M,703.60M,705.10M,719.50M,711.90M,703.00M
Non-Current Deferred Revenue,,,,,,,,,,,,,,,,,,,,,,20.90M,20.30M,21.80M,17.10M,23.10M,37.20M,,0.00,22.80M,,,,0.00,0.00,0.00,0.30M,0.20M,0.20M,9.00M,8.50M,7.90M,7.30M,6.80M,6.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Current Deferred Liabilities,1.495B,1.477B,1.483B,1.402B,1.342B,1.303B,1.409B,1.397B,1.305B,2.632B,2.630B,2.657B,2.541B,2.493B,2.521B,2.532B,2.380B,2.629B,3.944B,3.926B,2.284B,3.683B,3.615B,3.534B,3.408B,3.273B,3.215B,3.092B,3.062B,2.893B,2.842B,2.759B,2.650B,2.539B,2.476B,2.445B,2.296B,2.320B,2.186B,2.172B,2.139B,2.121B,1.795B,1.734B,1.679B,47.90M,49.80M,51.60M,53.40M,55.50M,57.50M,59.50M,61.50M,63.70M,65.80M,67.90M,69.90M,71.80M,74.00M,76.20M,78.40M,80.60M,82.90M,85.10M,87.30M,89.60M,91.80M,94.10M,96.30M,98.50M,100.80M,103.00M,105.20M,107.60M,109.80M,112.00M,114.30M,89.22M,91.13M,93.04M,90.60M,96.90M,98.80M,100.80M,98.20M,100.10M,101.90M,103.70M,105.50M,107.40M,109.30M,111.10M,108.30M,110.30M,112.30M,114.00M,115.70M,117.60M,119.40M,121.30M,123.20M,125.00M,126.90M,128.70M
Non-Current Accrued Expenses,81.50M,85.30M,82.90M,84.50M,84.40M,81.80M,86.00M,83.90M,80.10M,89.00M,86.70M,85.10M,82.80M,,,,87.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension Liability,373.20M,365.50M,372.10M,377.30M,389.10M,300.90M,311.70M,323.40M,337.10M,397.30M,688.10M,700.00M,713.40M,738.20M,746.10M,754.10M,759.70M,665.20M,633.90M,653.70M,733.90M,425.60M,466.10M,508.10M,527.50M,1.003B,1.020B,1.067B,1.107B,939.70M,939.40M,946.00M,953.80M,874.40M,919.60M,944.70M,1.040B,1.030B,1.190B,1.191B,1.134B,1.172B,1.254B,1.248B,1.238B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Contract Liabilities,134.00M,125.00M,80.70M,55.80M,46.70M,45.20M,44.90M,32.80M,28.50M,28.70M,58.50M,52.90M,44.50M,264.50M,221.10M,135.40M,22.60M,,,,,,,,,1.50M,5.00M,6.90M,2.60M,32.90M,45.60M,94.90M,138.90M,136.60M,127.80M,135.50M,181.60M,,,,170.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minority Interest Ownership,,,,,,,,,,,,,,,,,,,950.00M,946.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.00M,345.00M,345.00M,,,,,,,,,,,,,,,,,,,,
Preferred Securities out of Shareholders Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.00M,345.00M,345.00M,345.00M,345.00M,345.00M,345.00M,345.00M,345.00M,345.00M,345.00M,345.00M,345.00M,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Liabilities,218.50M,224.70M,222.80M,218.30M,177.90M,215.00M,184.80M,191.70M,194.40M,187.80M,188.90M,199.20M,200.50M,182.80M,187.00M,188.40M,189.00M,186.60M,270.60M,294.00M,206.80M,297.70M,224.30M,219.40M,216.30M,219.10M,216.40M,225.00M,226.20M,246.20M,242.10M,247.80M,244.70M,193.10M,157.80M,163.40M,162.00M,2.083B,2.082B,2.099B,158.80M,1.888B,1.874B,1.900B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Liabilities,12.93B,12.94B,12.18B,12.10B,12.02B,12.21B,12.28B,12.37B,12.46B,12.34B,11.92B,10.78B,11.17B,11.34B,11.11B,11.10B,10.99B,11.18B,15.63B,14.67B,14.45B,14.65B,13.80B,13.75B,13.59B,13.38B,13.85B,12.97B,12.97B,12.70B,12.64B,11.65B,12.06B,11.86B,11.78B,11.37B,11.35B,11.40B,11.44B,11.43B,11.27B,11.74B,11.49B,11.33B,8.861B,6.371B,6.110B,5.435B,5.648B,5.979B,5.182B,5.213B,5.208B,5.237B,5.229B,5.298B,5.341B,4.851B,4.881B,4.886B,4.914B,5.670B,5.656B,6.030B,6.081B,5.603B,5.134B,5.388B,5.291B,6.236B,6.376B,6.197B,6.231B,6.565B,6.581B,6.256B,6.262B,2.172B,2.352B,2.365B,2.211B,1.939B,1.943B,2.068B,1.766B,1.77B,1.773B,1.774B,1.773B,1.716B,1.718B,1.483B,1.235B,1.301B,1.367B,1.366B,1.291B,1.294B,1.463B,1.305B,1.304B,1.312B,1.199B,1.343B
Total Liabilities,16.67B,16.28B,16.00B,16.11B,16.05B,15.63B,14.84B,15.59B,15.64B,14.91B,14.70B,14.44B,14.62B,14.26B,13.81B,13.60B,13.65B,13.26B,18.15B,17.43B,18.41B,17.70B,17.23B,17.10B,16.77B,16.38B,15.92B,15.95B,16.29B,15.43B,15.30B,15.37B,15.71B,14.75B,14.34B,14.46B,15.02B,14.65B,14.15B,14.42B,14.42B,14.65B,14.43B,14.61B,15.30B,14.43B,13.81B,13.12B,12.93B,12.65B,12.43B,12.43B,13.14B,12.51B,12.22B,12.56B,12.94B,12.99B,11.48B,12.08B,12.12B,11.88B,11.42B,11.87B,12.13B,11.37B,12.18B,12.53B,12.69B,13.20B,13.09B,13.00B,13.82B,13.78B,14.06B,14.84B,16.15B,5.596B,5.727B,5.452B,4.936B,4.657B,4.547B,4.368B,3.695B,3.560B,3.467B,3.480B,3.528B,3.384B,3.452B,3.467B,3.046B,2.856B,2.796B,2.809B,2.697B,2.597B,2.594B,2.591B,2.652B,2.613B,2.575B,2.612B
Total Capital Stock,883.80M,883.80M,883.80M,883.80M,883.80M,397.60M,398.10M,3.40M,3.40M,3.40M,3.30M,3.30M,3.30M,3.30M,3.20M,3.20M,3.20M,3.20M,3.20M,3.20M,3.20M,3.20M,3.20M,3.20M,3.20M,3.20M,3.10M,3.10M,3.10M,3.10M,2.90M,2.90M,2.80M,2.80M,2.80M,2.80M,2.80M,2.80M,2.80M,2.80M,2.80M,2.80M,2.80M,2.70M,2.70M,2.70M,2.70M,2.70M,2.70M,2.70M,2.70M,2.70M,2.70M,2.70M,2.70M,83.80M,83.80M,83.80M,83.80M,83.80M,83.80M,81.10M,81.10M,81.10M,83.70M,81.10M,84.90M,84.90M,87.40M,85.50M,86.10M,88.60M,90.70M,132.20M,134.50M,134.80M,134.70M,1.007B,1.007B,1.007B,1.010B,1.011B,1.012B,1.013B,1.013B,1.014B,1.014B,1.015B,1.015B,1.016B,1.016B,1.018B,1.013B,1.014B,1.014B,1.016B,1.051B,1.052B,1.053B,1.056B,1.058B,1.067B,1.071B,1.072B
Retained Earnings,-1.371B,-1.232B,-1.144B,-1.358B,-1.399B,-1.388B,-965.50M,-919.20M,-1.073B,-1.021B,-975.60M,-874.20M,-972.20M,-1.061B,-1.067B,-1.043B,-1.123B,-1.183B,1.561B,1.598B,1.494B,1.340B,1.391B,1.394B,1.286B,1.134B,1.164B,1.170B,1.060B,925.70M,980.90M,980.00M,917.00M,922.60M,952.60M,978.30M,876.10M,868.50M,899.50M,935.30M,865.50M,776.30M,855.10M,923.30M,901.10M,739.10M,782.20M,1.048B,1.074B,1.007B,1.060B,1.096B,1.013B,950.40M,987.40M,1.029B,981.60M,913.60M,983.20M,1.007B,925.40M,,,,731.30M,,,,930.90M,,,974.70M,792.70M,,830.60M,898.70M,829.80M,828.06M,809.54M,819.59M,774.40M,775.00M,779.10M,788.60M,744.30M,713.60M,698.60M,697.90M,667.80M,641.70M,634.10M,635.90M,591.40M,566.90M,558.10M,560.40M,518.80M,493.90M,482.80M,481.20M,446.90M,423.70M,419.00M,421.60M
Additional Paid In Capital,6.666B,6.426B,6.417B,6.406B,6.404B,6.161B,6.151B,5.540B,5.529B,5.518B,5.225B,5.175B,5.154B,5.136B,5.118B,5.102B,5.078B,5.079B,5.065B,5.048B,4.788B,4.765B,4.735B,4.716B,4.690B,4.673B,4.646B,4.628B,4.598B,4.579B,4.221B,4.199B,4.168B,4.149B,4.133B,4.120B,4.104B,4.091B,4.080B,4.068B,4.058B,4.043B,4.033B,4.023B,4.020B,4.018B,4.015B,4.013B,4.011B,4.009B,4.008B,4.001B,3.998B,3.980B,3.973B,3.971B,3.969B,3.968B,3.959B,3.944B,3.924B,,,4.526B,3.752B,,,,3.390B,,,,2.612B,,2.618B,2.608B,2.585B,172.65M,173.60M,174.35M,174.40M,172.40M,172.40M,171.60M,94.20M,91.00M,90.70M,89.90M,89.80M,89.70M,89.60M,88.10M,32.90M,32.80M,32.70M,32.50M,32.20M,32.20M,32.00M,31.80M,29.70M,28.30M,27.80M,27.80M
Treasury Stock,99.90M,99.90M,99.90M,99.90M,99.90M,99.90M,99.90M,99.50M,95.90M,94.60M,94.60M,93.10M,88.70M,87.40M,87.20M,86.70M,79.30M,79.20M,79.10M,79.00M,58.90M,58.90M,58.80M,58.60M,48.60M,48.60M,48.50M,48.10M,40.50M,40.50M,40.50M,40.40M,30.50M,30.40M,30.40M,30.20M,27.40M,27.40M,27.40M,27.40M,25.90M,24.20M,24.20M,24.10M,23.30M,23.50M,23.40M,23.30M,23.30M,23.30M,23.30M,22.70M,21.20M,21.10M,,,15.10M,,,,,,,,,,,,6.90M,,,,,,,,,516.06M,518.62M,491.29M,472.50M,455.20M,455.60M,459.60M,559.00M,538.20M,456.00M,384.00M,363.90M,336.10M,336.40M,296.00M,393.00M,352.80M,339.70M,330.90M,293.20M,271.50M,260.50M,240.20M,237.20M,229.90M,211.80M,193.90M
Preferred Stock,880.00M,880.00M,880.00M,880.00M,880.00M,393.90M,394.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.10M,81.10M,81.10M,81.10M,81.10M,81.10M,81.10M,81.10M,81.10M,81.10M,81.10M,84.90M,84.90M,84.90M,85.50M,86.10M,88.60M,88.60M,132.20M,132.50M,132.70M,132.70M,135.81M,136.11M,136.41M,139.60M,140.10M,140.80M,142.00M,142.00M,142.60M,143.20M,144.40M,144.50M,145.00M,145.60M,146.80M,142.30M,142.90M,143.50M,145.00M,180.00M,180.70M,182.00M,184.80M,187.50M,196.50M,199.80M,201.30M
Adjustments for Foreign Currency Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10M,-1.00M,-1.50M,-1.80M,-2.30M,-3.00M,-2.20M,-1.60M,-0.30M,,-0.50M,-0.10M,-1.90M,-2.00M,-2.10M,-1.90M,-1.40M,-1.50M,-0.90M,-1.50M,-2.00M,-1.90M,-2.40M
Other Equity Adjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90M,3.30M,1.60M,1.10M,-0.20M,2.60M,4.00M,1.80M,0.80M,,-1.40M,-1.50M,-3.00M,-3.80M,-4.50M,-4.60M,-7.00M,-7.50M,-8.00M,-1.00M,-1.20M,-1.40M,-1.50M
