date,market_cap
"Nov. 23, 2016",53.00B
"Nov. 22, 2016",53.19B
"Nov. 21, 2016",53.43B
"Nov. 18, 2016",53.31B
"Nov. 17, 2016",53.63B
"Nov. 16, 2016",53.40B
"Nov. 15, 2016",53.75B
"Nov. 14, 2016",53.47B
"Nov. 11, 2016",53.05B
"Nov. 10, 2016",53.76B
"Nov. 9, 2016",54.90B
"Nov. 8, 2016",58.49B
"Nov. 7, 2016",58.25B
"Nov. 4, 2016",57.56B
"Nov. 3, 2016",57.87B
"Nov. 2, 2016",57.79B
"Nov. 1, 2016",58.82B
"Oct. 31, 2016",59.81B
"Oct. 28, 2016",58.75B
"Oct. 27, 2016",58.46B
"Oct. 26, 2016",58.97B
"Oct. 25, 2016",58.65B
"Oct. 24, 2016",58.12B
"Oct. 21, 2016",57.81B
"Oct. 20, 2016",58.00B
"Oct. 19, 2016",58.21B
"Oct. 18, 2016",58.46B
"Oct. 17, 2016",57.97B
"Oct. 14, 2016",57.96B
"Oct. 13, 2016",58.24B
"Oct. 12, 2016",57.46B
"Oct. 11, 2016",56.61B
"Oct. 10, 2016",57.37B
"Oct. 7, 2016",56.89B
"Oct. 6, 2016",55.15B
"Oct. 5, 2016",55.39B
"Oct. 4, 2016",55.56B
"Oct. 3, 2016",56.60B
"Sept. 30, 2016",57.16B
"Sept. 29, 2016",57.15B
"Sept. 28, 2016",58.43B
"Sept. 27, 2016",58.57B
"Sept. 26, 2016",58.31B
"Sept. 23, 2016",58.56B
"Sept. 22, 2016",59.15B
"Sept. 21, 2016",59.06B
"Sept. 20, 2016",57.78B
