date,max_drawdown_all
"Dec. 31, 1982",67.35%
"Nov. 30, 1982",67.35%
"Oct. 31, 1982",67.35%
"Sept. 30, 1982",67.35%
"Aug. 31, 1982",67.35%
"July 31, 1982",67.35%
"June 30, 1982",67.35%
"May 31, 1982",67.35%
"April 30, 1982",67.35%
"March 31, 1982",67.35%
"Feb. 28, 1982",67.35%
"Jan. 31, 1982",67.35%
"Dec. 31, 1981",67.35%
"Nov. 30, 1981",67.35%
"Oct. 31, 1981",67.35%
"Sept. 30, 1981",67.35%
"Aug. 31, 1981",67.35%
"July 31, 1981",67.35%
"June 30, 1981",67.35%
"May 31, 1981",67.35%
"April 30, 1981",67.35%
"March 31, 1981",67.35%
"Feb. 28, 1981",67.35%
"Jan. 31, 1981",67.35%
"Dec. 31, 1980",67.35%
"Nov. 30, 1980",67.35%
"Oct. 31, 1980",67.35%
"Sept. 30, 1980",67.35%
"Aug. 31, 1980",67.35%
"July 31, 1980",67.35%
"June 30, 1980",67.35%
"May 31, 1980",67.35%
"April 30, 1980",67.35%
"March 31, 1980",67.35%
"Feb. 29, 1980",67.35%
"Jan. 31, 1980",67.35%
"Dec. 31, 1979",67.35%
"Nov. 30, 1979",67.35%
"Oct. 31, 1979",67.35%
"Sept. 30, 1979",67.35%
"Aug. 31, 1979",67.35%
"July 31, 1979",67.35%
"June 30, 1979",67.35%
"May 31, 1979",67.35%
"April 30, 1979",67.35%
"March 31, 1979",67.35%
"Feb. 28, 1979",67.35%
"Jan. 31, 1979",67.35%
"Dec. 31, 1978",67.35%
"Nov. 30, 1978",67.35%
"Oct. 31, 1978",67.35%
"Sept. 30, 1978",67.35%
"Aug. 31, 1978",67.35%
"July 31, 1978",67.35%
"June 30, 1978",67.35%
"May 31, 1978",67.35%
"April 30, 1978",67.35%
"March 31, 1978",67.35%
"Feb. 28, 1978",67.35%
"Jan. 31, 1978",67.35%
"Dec. 31, 1977",67.35%
"Nov. 30, 1977",67.35%
"Oct. 31, 1977",67.35%
"Sept. 30, 1977",67.35%
"Aug. 31, 1977",67.35%
"July 31, 1977",67.35%
"June 30, 1977",67.35%
"May 31, 1977",67.35%
"April 30, 1977",67.35%
"March 31, 1977",67.35%
"Feb. 28, 1977",67.35%
"Jan. 31, 1977",67.35%
"Dec. 31, 1976",67.35%
"Nov. 30, 1976",67.35%
"Oct. 31, 1976",67.35%
"Sept. 30, 1976",67.35%
"Aug. 31, 1976",67.35%
"July 31, 1976",67.35%
"June 30, 1976",67.35%
"May 31, 1976",67.35%
"April 30, 1976",67.35%
"March 31, 1976",67.35%
"Feb. 29, 1976",67.35%
"Jan. 31, 1976",67.35%
"Dec. 31, 1975",67.35%
"Nov. 30, 1975",67.35%
"Oct. 31, 1975",67.35%
"Sept. 30, 1975",67.35%
"Aug. 31, 1975",67.35%
"July 31, 1975",67.35%
"June 30, 1975",67.35%
"May 31, 1975",67.35%
"April 30, 1975",67.35%
"March 31, 1975",67.35%
"Feb. 28, 1975",67.35%
"Jan. 31, 1975",67.35%
"Dec. 31, 1974",67.35%
"Nov. 30, 1974",67.35%
"Oct. 31, 1974",67.35%
"Sept. 30, 1974",67.35%
"Aug. 31, 1974",66.76%
"July 31, 1974",60.93%
"June 30, 1974",60.06%
"May 31, 1974",59.47%
"April 30, 1974",59.47%
"March 31, 1974",47.52%
"Feb. 28, 1974",43.44%
"Jan. 31, 1974",43.44%
"Dec. 31, 1973",43.44%
"Nov. 30, 1973",35.86%
"Oct. 31, 1973",23.91%
"Sept. 30, 1973",23.91%
"Aug. 31, 1973",23.91%
"July 31, 1973",22.45%
"June 30, 1973",22.45%
"May 31, 1973",22.45%
"April 30, 1973",22.45%
"March 31, 1973",20.41%
"Feb. 28, 1973",16.33%
"Jan. 31, 1973",16.33%
"Dec. 31, 1972",14.12%
"Nov. 30, 1972",14.12%
"Oct. 31, 1972",14.12%
"Sept. 30, 1972",14.12%
"Aug. 31, 1972",14.12%
"July 31, 1972",12.99%
"June 30, 1972",6.21%
