date,market_cap
"July 13, 2018",93.71B
"July 12, 2018",93.34B
"July 11, 2018",92.30B
"July 10, 2018",93.32B
"July 9, 2018",93.39B
"July 6, 2018",91.19B
"July 5, 2018",91.41B
"July 3, 2018",90.95B
"July 2, 2018",91.06B
"June 29, 2018",91.54B
"June 28, 2018",91.24B
"June 27, 2018",93.39B
"June 26, 2018",94.42B
"June 25, 2018",94.96B
"June 22, 2018",97.97B
"June 21, 2018",97.73B
"June 20, 2018",97.93B
"June 19, 2018",98.94B
"June 18, 2018",100.62B
"June 15, 2018",100.62B
"June 14, 2018",100.98B
"June 13, 2018",101.10B
"June 12, 2018",101.97B
"June 11, 2018",100.69B
"June 8, 2018",100.47B
"June 7, 2018",100.12B
"June 6, 2018",100.83B
"June 5, 2018",100.65B
"June 4, 2018",100.79B
"June 1, 2018",101.03B
"May 31, 2018",100.06B
"May 30, 2018",100.55B
"May 29, 2018",98.09B
"May 25, 2018",99.52B
"May 24, 2018",99.64B
"May 23, 2018",99.34B
"May 22, 2018",99.40B
"May 21, 2018",100.89B
"May 18, 2018",99.42B
"May 17, 2018",100.46B
"May 16, 2018",100.23B
"May 15, 2018",99.62B
"May 14, 2018",100.25B
"May 11, 2018",99.48B
"May 10, 2018",98.22B
"May 9, 2018",95.99B
"May 8, 2018",95.88B
"May 7, 2018",96.61B
"May 4, 2018",95.91B
"May 3, 2018",94.62B
"May 2, 2018",95.78B
"May 1, 2018",96.90B
"April 30, 2018",97.80B
"April 27, 2018",98.22B
"April 26, 2018",97.61B
"April 25, 2018",93.63B
"April 24, 2018",93.25B
"April 23, 2018",93.99B
"April 20, 2018",93.51B
"April 19, 2018",94.48B
"April 18, 2018",95.53B
"April 17, 2018",94.34B
"April 16, 2018",94.11B
"April 13, 2018",92.39B
"April 12, 2018",92.16B
"April 11, 2018",91.39B
"April 10, 2018",91.33B
"April 9, 2018",90.10B
"April 6, 2018",90.73B
"April 5, 2018",92.33B
"April 4, 2018",91.66B
"April 3, 2018",90.91B
"April 2, 2018",89.45B
"March 29, 2018",90.16B
"March 28, 2018",88.45B
"March 27, 2018",88.01B
"March 26, 2018",89.33B
"March 23, 2018",87.57B
"March 22, 2018",89.98B
"March 21, 2018",92.73B
"March 20, 2018",93.06B
"March 19, 2018",93.43B
"March 16, 2018",95.54B
"March 15, 2018",94.51B
"March 14, 2018",93.69B
"March 13, 2018",94.18B
"March 12, 2018",93.82B
"March 9, 2018",95.11B
"March 8, 2018",93.75B
"March 7, 2018",94.10B
"March 6, 2018",94.61B
"March 5, 2018",91.17B
"March 2, 2018",90.79B
"March 1, 2018",91.70B
"Feb. 28, 2018",89.96B
"Feb. 27, 2018",91.07B
"Feb. 26, 2018",93.12B
"Feb. 23, 2018",91.00B
"Feb. 22, 2018",90.54B
"Feb. 21, 2018",90.21B
"Feb. 20, 2018",90.22B
"Feb. 16, 2018",91.68B
"Feb. 15, 2018",93.32B
"Feb. 14, 2018",91.85B
"Feb. 13, 2018",92.68B
"Feb. 12, 2018",91.60B
"Feb. 9, 2018",91.67B
"Feb. 8, 2018",94.16B
"Feb. 7, 2018",96.13B
"Feb. 6, 2018",96.82B
"Feb. 5, 2018",97.32B
"Feb. 2, 2018",100.05B
"Feb. 1, 2018",102.66B
"Jan. 31, 2018",109.37B
"Jan. 30, 2018",110.05B
"Jan. 29, 2018",112.22B
"Jan. 26, 2018",114.01B
"Jan. 25, 2018",112.78B
"Jan. 24, 2018",113.12B
"Jan. 23, 2018",113.45B
"Jan. 22, 2018",114.13B
"Jan. 19, 2018",114.32B
"Jan. 18, 2018",114.75B
"Jan. 17, 2018",115.11B
"Jan. 16, 2018",114.14B
"Jan. 12, 2018",115.18B
"Jan. 11, 2018",114.64B
"Jan. 10, 2018",111.49B
"Jan. 9, 2018",110.91B
"Jan. 8, 2018",110.96B
"Jan. 5, 2018",109.63B
"Jan. 4, 2018",109.29B
"Jan. 3, 2018",108.59B
"Jan. 2, 2018",106.23B
"Dec. 29, 2017",102.68B
"Dec. 28, 2017",102.59B
"Dec. 27, 2017",102.61B
"Dec. 26, 2017",101.91B
"Dec. 22, 2017",102.24B
"Dec. 21, 2017",102.18B
"Dec. 20, 2017",101.97B
"Dec. 19, 2017",102.55B
"Dec. 18, 2017",102.38B
"Dec. 15, 2017",101.68B
"Dec. 14, 2017",100.68B
"Dec. 13, 2017",102.03B
"Dec. 12, 2017",101.82B
"Dec. 11, 2017",101.73B
"Dec. 8, 2017",103.03B
"Dec. 7, 2017",103.18B
"Dec. 6, 2017",101.93B
"Dec. 5, 2017",103.73B
"Dec. 4, 2017",106.61B
"Dec. 1, 2017",103.67B
"Nov. 30, 2017",104.66B
"Nov. 29, 2017",102.58B
"Nov. 28, 2017",99.26B
"Nov. 27, 2017",98.70B
"Nov. 24, 2017",97.50B
"Nov. 22, 2017",98.04B
"Nov. 21, 2017",98.17B
"Nov. 20, 2017",97.55B
"Nov. 17, 2017",97.32B
"Nov. 16, 2017",97.98B
"Nov. 15, 2017",97.28B
"Nov. 14, 2017",98.30B
"Nov. 13, 2017",98.94B
"Nov. 10, 2017",97.57B
"Nov. 9, 2017",96.99B
"Nov. 8, 2017",97.49B
"Nov. 7, 2017",98.19B
"Nov. 6, 2017",98.17B
"Nov. 3, 2017",99.50B
"Nov. 2, 2017",100.71B
"Nov. 1, 2017",101.22B
"Oct. 31, 2017",101.28B
"Oct. 30, 2017",101.76B
"Oct. 27, 2017",104.05B
"Oct. 26, 2017",102.83B
"Oct. 25, 2017",102.16B
"Oct. 24, 2017",103.15B
"Oct. 23, 2017",103.16B
"Oct. 20, 2017",103.23B
"Oct. 19, 2017",102.94B
"Oct. 18, 2017",101.85B
"Oct. 17, 2017",101.44B
"Oct. 16, 2017",102.01B
"Oct. 13, 2017",102.03B
"Oct. 12, 2017",103.07B
"Oct. 11, 2017",102.51B
"Oct. 10, 2017",101.82B
"Oct. 9, 2017",100.98B
"Oct. 6, 2017",101.46B
"Oct. 5, 2017",101.89B
"Oct. 4, 2017",102.58B
"Oct. 3, 2017",103.19B
"Oct. 2, 2017",104.12B
"Sept. 29, 2017",103.99B
"Sept. 28, 2017",103.58B
"Sept. 27, 2017",102.72B
"Sept. 26, 2017",102.98B
"Sept. 25, 2017",102.37B
"Sept. 22, 2017",101.90B
"Sept. 21, 2017",101.54B
"Sept. 20, 2017",102.04B
"Sept. 19, 2017",101.29B
"Sept. 18, 2017",101.83B
"Sept. 15, 2017",102.10B
"Sept. 14, 2017",101.65B
"Sept. 13, 2017",101.37B
"Sept. 12, 2017",101.45B
"Sept. 11, 2017",100.63B
"Sept. 8, 2017",99.63B
"Sept. 7, 2017",99.30B
"Sept. 6, 2017",98.56B
"Sept. 5, 2017",98.65B
"Sept. 1, 2017",99.06B
"Aug. 31, 2017",99.03B
"Aug. 30, 2017",99.56B
"Aug. 29, 2017",99.49B
"Aug. 28, 2017",98.54B
"Aug. 25, 2017",98.20B
"Aug. 24, 2017",98.16B
"Aug. 23, 2017",98.33B
"Aug. 22, 2017",99.24B
"Aug. 21, 2017",98.57B
"Aug. 18, 2017",98.15B
"Aug. 17, 2017",97.79B
"Aug. 16, 2017",99.38B
"Aug. 15, 2017",98.88B
"Aug. 14, 2017",98.45B
"Aug. 11, 2017",96.50B
"Aug. 10, 2017",96.05B
"Aug. 9, 2017",97.34B
"Aug. 8, 2017",96.89B
"Aug. 7, 2017",96.87B
"Aug. 4, 2017",97.03B
"Aug. 3, 2017",96.57B
"Aug. 2, 2017",96.35B
"Aug. 1, 2017",95.40B
"July 31, 2017",95.51B
"July 28, 2017",94.96B
"July 27, 2017",93.34B
"July 26, 2017",97.24B
"July 25, 2017",98.04B
"July 24, 2017",97.12B
"July 21, 2017",97.47B
"July 20, 2017",97.38B
"July 19, 2017",97.74B
"July 18, 2017",96.73B
"July 17, 2017",96.91B
"July 14, 2017",97.23B
"July 13, 2017",96.15B
"July 12, 2017",95.64B
"July 11, 2017",95.21B
"July 10, 2017",95.33B
"July 7, 2017",95.46B
"July 6, 2017",94.49B
"July 5, 2017",95.60B
"July 3, 2017",95.68B
"June 30, 2017",95.66B
"June 29, 2017",95.26B
"June 28, 2017",95.52B
"June 27, 2017",95.17B
"June 26, 2017",96.33B
"June 23, 2017",95.69B
"June 22, 2017",94.65B
"June 21, 2017",94.75B
"June 20, 2017",95.12B
"June 19, 2017",96.21B
"June 16, 2017",95.97B
"June 15, 2017",95.68B
"June 14, 2017",94.92B
"June 13, 2017",95.32B
"June 12, 2017",94.53B
"June 9, 2017",92.88B
"June 8, 2017",92.63B
"June 7, 2017",92.57B
"June 6, 2017",93.22B
"June 5, 2017",93.68B
"June 2, 2017",93.43B
"June 1, 2017",93.42B
"May 31, 2017",91.96B
"May 30, 2017",92.69B
"May 26, 2017",91.87B
"May 25, 2017",91.93B
"May 24, 2017",90.87B
"May 23, 2017",90.42B
"May 22, 2017",90.06B
"May 19, 2017",89.74B
"May 18, 2017",89.54B
"May 17, 2017",89.27B
"May 16, 2017",90.68B
"May 15, 2017",91.37B
"May 12, 2017",90.36B
"May 11, 2017",90.38B
"May 10, 2017",91.20B
"May 9, 2017",92.43B
"May 8, 2017",93.30B
"May 5, 2017",93.22B
"May 4, 2017",92.89B
"May 3, 2017",93.15B
"May 2, 2017",92.78B
"May 1, 2017",92.45B
"April 28, 2017",93.28B
"April 27, 2017",94.46B
"April 26, 2017",93.41B
"April 25, 2017",93.19B
"April 24, 2017",92.85B
"April 21, 2017",91.81B
"April 20, 2017",91.60B
"April 19, 2017",90.67B
"April 18, 2017",90.36B
"April 17, 2017",91.03B
"April 13, 2017",90.05B
"April 12, 2017",90.47B
"April 11, 2017",91.79B
"April 10, 2017",92.37B
"April 7, 2017",91.13B
"April 6, 2017",92.59B
"April 5, 2017",92.65B
"April 4, 2017",92.55B
"April 3, 2017",92.36B
"March 31, 2017",93.14B
"March 30, 2017",92.72B
"March 29, 2017",92.17B
"March 28, 2017",92.31B
"March 27, 2017",91.08B
"March 24, 2017",91.32B
"March 23, 2017",91.84B
"March 22, 2017",92.60B
"March 21, 2017",92.59B
"March 20, 2017",93.12B
"March 17, 2017",94.01B
"March 16, 2017",93.71B
"March 15, 2017",93.66B
"March 14, 2017",92.87B
"March 13, 2017",93.44B
"March 10, 2017",92.78B
"March 9, 2017",92.06B
"March 8, 2017",91.91B
"March 7, 2017",91.83B
"March 6, 2017",92.23B
"March 3, 2017",92.16B
"March 2, 2017",92.18B
"March 1, 2017",92.98B
"Feb. 28, 2017",92.01B
"Feb. 27, 2017",92.86B
"Feb. 24, 2017",92.38B
"Feb. 23, 2017",91.43B
"Feb. 22, 2017",91.89B
"Feb. 21, 2017",93.72B
"Feb. 17, 2017",93.01B
"Feb. 16, 2017",93.28B
"Feb. 15, 2017",94.85B
"Feb. 14, 2017",94.82B
"Feb. 13, 2017",94.40B
"Feb. 10, 2017",93.39B
"Feb. 9, 2017",92.62B
"Feb. 8, 2017",92.36B
"Feb. 7, 2017",91.78B
"Feb. 6, 2017",92.10B
"Feb. 3, 2017",92.87B
"Feb. 2, 2017",91.26B
"Feb. 1, 2017",91.48B
"Jan. 31, 2017",94.76B
"Jan. 30, 2017",101.62B
"Jan. 27, 2017",102.54B
"Jan. 26, 2017",101.54B
"Jan. 25, 2017",101.59B
"Jan. 24, 2017",100.77B
"Jan. 23, 2017",99.39B
"Jan. 20, 2017",99.83B
"Jan. 19, 2017",99.23B
"Jan. 18, 2017",99.83B
"Jan. 17, 2017",99.05B
"Jan. 13, 2017",99.20B
"Jan. 12, 2017",98.91B
"Jan. 11, 2017",99.15B
"Jan. 10, 2017",98.92B
"Jan. 9, 2017",99.66B
"Jan. 6, 2017",100.21B
"Jan. 5, 2017",100.01B
"Jan. 4, 2017",99.96B
"Jan. 3, 2017",99.93B
"Dec. 30, 2016",100.04B
"Dec. 29, 2016",100.34B
"Dec. 28, 2016",100.53B
"Dec. 27, 2016",101.34B
"Dec. 23, 2016",101.20B
"Dec. 22, 2016",101.49B
"Dec. 21, 2016",101.32B
"Dec. 20, 2016",102.55B
"Dec. 19, 2016",102.08B
"Dec. 16, 2016",101.06B
"Dec. 15, 2016",102.35B
"Dec. 14, 2016",102.33B
"Dec. 13, 2016",104.86B
"Dec. 12, 2016",104.83B
"Dec. 9, 2016",104.37B
"Dec. 8, 2016",103.83B
"Dec. 7, 2016",103.51B
"Dec. 6, 2016",101.70B
"Dec. 5, 2016",101.72B
"Dec. 2, 2016",101.53B
"Dec. 1, 2016",101.60B
"Nov. 30, 2016",101.16B
"Nov. 29, 2016",101.47B
"Nov. 28, 2016",100.96B
"Nov. 25, 2016",101.45B
"Nov. 23, 2016",100.95B
"Nov. 22, 2016",100.03B
"Nov. 21, 2016",100.09B
"Nov. 18, 2016",99.56B
"Nov. 17, 2016",99.04B
"Nov. 16, 2016",98.44B
"Nov. 15, 2016",98.77B
"Nov. 14, 2016",98.53B
"Nov. 11, 2016",99.68B
"Nov. 10, 2016",98.88B
"Nov. 9, 2016",98.35B
"Nov. 8, 2016",97.76B
"Nov. 7, 2016",95.82B
"Nov. 4, 2016",93.32B
"Nov. 3, 2016",93.79B
"Nov. 2, 2016",93.29B
"Nov. 1, 2016",93.23B
"Oct. 31, 2016",94.04B
"Oct. 28, 2016",93.98B
"Oct. 27, 2016",94.32B
"Oct. 26, 2016",94.78B
"Oct. 25, 2016",94.11B
"Oct. 24, 2016",94.64B
"Oct. 21, 2016",93.55B
"Oct. 20, 2016",93.76B
"Oct. 19, 2016",94.33B
"Oct. 18, 2016",94.40B
"Oct. 17, 2016",94.31B
"Oct. 14, 2016",94.65B
"Oct. 13, 2016",94.55B
"Oct. 12, 2016",94.93B
"Oct. 11, 2016",94.90B
"Oct. 10, 2016",95.20B
"Oct. 7, 2016",94.98B
"Oct. 6, 2016",95.26B
"Oct. 5, 2016",95.30B
"Oct. 4, 2016",94.74B
"Oct. 3, 2016",95.31B
"Sept. 30, 2016",95.47B
"Sept. 29, 2016",95.02B
"Sept. 28, 2016",95.93B
"Sept. 27, 2016",96.60B
"Sept. 26, 2016",95.57B
"Sept. 23, 2016",95.89B
"Sept. 22, 2016",96.30B
"Sept. 21, 2016",96.29B
"Sept. 20, 2016",95.14B
