date,market_cap
"Jan. 12, 2018",7.361B
"Jan. 11, 2018",7.171B
"Jan. 10, 2018",6.930B
"Jan. 9, 2018",6.892B
"Jan. 8, 2018",6.831B
"Jan. 5, 2018",6.863B
"Jan. 4, 2018",6.962B
"Jan. 3, 2018",6.930B
"Jan. 2, 2018",7.184B
"Dec. 29, 2017",7.163B
"Dec. 28, 2017",7.227B
"Dec. 27, 2017",7.215B
"Dec. 26, 2017",7.240B
"Dec. 22, 2017",7.195B
"Dec. 21, 2017",7.192B
"Dec. 20, 2017",7.041B
"Dec. 19, 2017",6.923B
"Dec. 18, 2017",6.997B
"Dec. 15, 2017",6.827B
"Dec. 14, 2017",6.791B
"Dec. 13, 2017",6.891B
"Dec. 12, 2017",6.923B
"Dec. 11, 2017",7.115B
"Dec. 8, 2017",7.080B
"Dec. 7, 2017",7.013B
"Dec. 6, 2017",6.932B
"Dec. 5, 2017",6.945B
"Dec. 4, 2017",7.045B
"Dec. 1, 2017",6.833B
"Nov. 30, 2017",6.884B
"Nov. 29, 2017",6.721B
"Nov. 28, 2017",6.451B
"Nov. 27, 2017",6.310B
"Nov. 24, 2017",6.362B
"Nov. 22, 2017",6.381B
"Nov. 21, 2017",6.407B
"Nov. 20, 2017",6.342B
"Nov. 17, 2017",6.410B
"Nov. 16, 2017",6.496B
"Nov. 15, 2017",6.461B
"Nov. 14, 2017",6.294B
"Nov. 13, 2017",6.076B
"Nov. 10, 2017",6.089B
"Nov. 9, 2017",6.038B
"Nov. 8, 2017",6.028B
"Nov. 7, 2017",6.067B
"Nov. 6, 2017",6.195B
"Nov. 3, 2017",6.153B
"Nov. 2, 2017",6.067B
"Nov. 1, 2017",6.076B
"Oct. 31, 2017",6.140B
"Oct. 30, 2017",6.073B
"Oct. 27, 2017",6.214B
"Oct. 26, 2017",6.281B
"Oct. 25, 2017",6.323B
"Oct. 24, 2017",6.612B
"Oct. 23, 2017",6.374B
"Oct. 20, 2017",6.525B
"Oct. 19, 2017",6.522B
"Oct. 18, 2017",6.435B
"Oct. 17, 2017",6.471B
"Oct. 16, 2017",6.490B
"Oct. 13, 2017",6.532B
"Oct. 12, 2017",6.522B
"Oct. 11, 2017",6.583B
"Oct. 10, 2017",6.487B
"Oct. 9, 2017",6.249B
"Oct. 6, 2017",6.298B
"Oct. 5, 2017",6.185B
"Oct. 4, 2017",6.198B
"Oct. 3, 2017",6.355B
"Oct. 2, 2017",5.935B
"Sept. 29, 2017",5.996B
"Sept. 28, 2017",5.990B
"Sept. 27, 2017",6.003B
"Sept. 26, 2017",6.051B
"Sept. 25, 2017",6.106B
"Sept. 22, 2017",6.025B
"Sept. 21, 2017",6.116B
"Sept. 20, 2017",6.229B
"Sept. 19, 2017",6.161B
"Sept. 18, 2017",6.200B
"Sept. 15, 2017",6.271B
"Sept. 14, 2017",6.268B
"Sept. 13, 2017",6.262B
"Sept. 12, 2017",6.401B
"Sept. 11, 2017",6.374B
"Sept. 8, 2017",6.150B
"Sept. 7, 2017",6.002B
"Sept. 6, 2017",6.200B
"Sept. 5, 2017",6.302B
"Sept. 1, 2017",6.519B
"Aug. 31, 2017",6.516B
"Aug. 30, 2017",6.486B
"Aug. 29, 2017",6.483B
"Aug. 28, 2017",6.443B
"Aug. 25, 2017",6.529B
"Aug. 24, 2017",6.361B
"Aug. 23, 2017",6.460B
"Aug. 22, 2017",6.677B
"Aug. 21, 2017",6.644B
"Aug. 18, 2017",6.670B
"Aug. 17, 2017",6.739B
"Aug. 16, 2017",7.173B
"Aug. 15, 2017",7.177B
"Aug. 14, 2017",7.127B
"Aug. 11, 2017",7.012B
"Aug. 10, 2017",7.058B
"Aug. 9, 2017",7.187B
"Aug. 8, 2017",7.173B
"Aug. 7, 2017",7.282B
"Aug. 4, 2017",7.377B
"Aug. 3, 2017",7.279B
"Aug. 2, 2017",7.279B
"Aug. 1, 2017",7.229B
"July 31, 2017",7.213B
"July 28, 2017",7.256B
"July 27, 2017",7.140B
"July 26, 2017",7.259B
"July 25, 2017",7.489B
"July 24, 2017",7.486B
"July 21, 2017",7.713B
"July 20, 2017",7.673B
"July 19, 2017",7.673B
"July 18, 2017",7.650B
"July 17, 2017",7.737B
"July 14, 2017",7.706B
"July 13, 2017",7.811B
"July 12, 2017",7.660B
"July 11, 2017",7.542B
"July 10, 2017",7.601B
"July 7, 2017",7.683B
"July 6, 2017",7.525B
"July 5, 2017",7.578B
"July 3, 2017",7.571B
"June 30, 2017",7.509B
"June 29, 2017",7.624B
"June 28, 2017",7.661B
