date,operating_pe_ratio
"Aug. 30, 2017",10.91
"Aug. 29, 2017",10.93
"Aug. 28, 2017",10.94
"Aug. 25, 2017",10.90
"Aug. 24, 2017",10.86
"Aug. 23, 2017",10.88
"Aug. 22, 2017",10.84
"Aug. 21, 2017",10.79
"Aug. 18, 2017",10.76
"Aug. 17, 2017",10.73
"Aug. 16, 2017",10.82
"Aug. 15, 2017",10.79
"Aug. 14, 2017",10.76
"Aug. 11, 2017",10.74
"Aug. 10, 2017",10.76
"Aug. 9, 2017",10.74
"Aug. 8, 2017",10.77
"Aug. 7, 2017",10.73
"Aug. 4, 2017",10.67
"Aug. 3, 2017",10.72
"Aug. 2, 2017",10.64
"Aug. 1, 2017",10.61
"July 31, 2017",10.53
"July 28, 2017",10.49
"July 27, 2017",10.51
"July 26, 2017",10.56
"July 25, 2017",10.50
"July 24, 2017",10.56
"July 21, 2017",10.62
"July 20, 2017",10.52
"July 19, 2017",10.44
"July 18, 2017",10.37
"July 17, 2017",10.34
"July 14, 2017",10.32
"July 13, 2017",10.30
"July 12, 2017",10.12
"July 11, 2017",10.12
"July 10, 2017",10.12
"July 7, 2017",10.16
"July 6, 2017",10.15
"July 5, 2017",10.18
"July 3, 2017",10.21
"June 30, 2017",10.33
"June 29, 2017",11.20
"June 28, 2017",11.20
"June 27, 2017",11.36
"June 26, 2017",11.54
"June 23, 2017",11.52
"June 22, 2017",11.66
"June 21, 2017",11.72
"June 20, 2017",11.72
"June 19, 2017",11.69
"June 16, 2017",11.71
"June 15, 2017",11.70
"June 14, 2017",11.58
"June 13, 2017",11.43
"June 12, 2017",11.40
"June 9, 2017",11.59
"June 8, 2017",11.60
"June 7, 2017",11.69
"June 6, 2017",11.63
"June 5, 2017",11.64
"June 2, 2017",11.66
"June 1, 2017",11.67
"May 31, 2017",11.58
"May 30, 2017",11.50
"May 26, 2017",11.41
"May 25, 2017",11.40
"May 24, 2017",11.22
"May 23, 2017",11.21
"May 22, 2017",11.17
"May 19, 2017",11.10
"May 18, 2017",11.12
"May 17, 2017",11.07
"May 16, 2017",11.10
"May 15, 2017",11.26
"May 12, 2017",11.24
"May 11, 2017",11.17
"May 10, 2017",11.26
"May 9, 2017",11.31
"May 8, 2017",11.34
"May 5, 2017",11.37
"May 4, 2017",11.34
"May 3, 2017",11.31
"May 2, 2017",11.31
"May 1, 2017",11.26
"April 28, 2017",11.36
"April 27, 2017",11.40
"April 26, 2017",11.35
"April 25, 2017",11.46
"April 24, 2017",11.48
"April 21, 2017",11.40
"April 20, 2017",11.37
"April 19, 2017",11.44
"April 18, 2017",11.44
"April 17, 2017",11.43
"April 13, 2017",11.37
"April 12, 2017",11.44
"April 11, 2017",11.35
"April 10, 2017",11.36
"April 7, 2017",11.35
"April 6, 2017",11.41
