date,Open,High,Low,Close
"July 21, 2017",85.69,85.69,81.45,82.01
"July 20, 2017",89.02,89.47,83.84,85.49
"July 19, 2017",82.20,89.14,81.96,88.23
"July 18, 2017",83.92,84.06,81.36,82.38
"July 17, 2017",82.59,84.17,82.36,83.60
"July 14, 2017",82.59,84.02,81.59,82.84
"July 13, 2017",78.98,82.44,78.67,82.24
"July 12, 2017",80.86,82.61,78.13,78.92
"July 11, 2017",77.45,79.94,75.33,78.93
"July 10, 2017",73.16,78.01,73.10,77.79
"July 7, 2017",75.34,76.11,72.97,73.94
"July 6, 2017",80.66,81.51,75.96,76.43
"July 5, 2017",84.01,84.01,79.67,80.87
"July 3, 2017",81.27,86.54,81.16,84.90
"June 30, 2017",82.45,82.71,78.68,80.46
"June 29, 2017",81.21,84.41,80.73,81.91
"June 28, 2017",79.35,83.44,79.35,80.44
"June 27, 2017",79.93,82.41,79.23,79.37
"June 26, 2017",80.52,80.81,78.38,79.40
"June 23, 2017",76.21,79.86,75.51,79.76
"June 22, 2017",75.52,78.33,75.47,76.04
"June 21, 2017",79.67,79.67,72.82,75.41
"June 20, 2017",80.88,80.88,77.42,79.96
"June 19, 2017",83.18,84.41,81.58,83.21
"June 16, 2017",82.71,83.86,81.09,82.79
"June 15, 2017",84.24,86.39,82.14,82.96
"June 14, 2017",89.57,89.61,84.36,85.55
"June 13, 2017",86.96,90.70,86.57,90.11
"June 12, 2017",86.47,89.21,86.06,86.77
"June 9, 2017",82.27,87.10,80.43,84.54
"June 8, 2017",81.56,83.35,80.99,81.60
"June 7, 2017",87.91,88.93,81.17,82.28
"June 6, 2017",87.33,90.24,84.93,89.07
"June 5, 2017",85.69,88.55,85.69,87.74
"June 2, 2017",88.35,88.94,86.45,86.73
"June 1, 2017",87.84,91.62,86.78,89.50
"May 31, 2017",86.48,87.72,83.84,87.52
"May 30, 2017",91.11,91.32,87.71,87.88
"May 26, 2017",86.42,86.44,84.00,85.07
"May 25, 2017",92.27,94.29,86.29,86.32
"May 24, 2017",93.10,94.60,91.97,92.81
"May 23, 2017",94.03,94.13,92.21,93.27
"May 22, 2017",95.11,95.49,92.58,93.47
"May 19, 2017",90.82,94.15,90.82,93.74
"May 18, 2017",87.77,90.34,87.21,89.88
"May 17, 2017",91.09,91.47,87.76,88.51
"May 16, 2017",92.73,93.24,91.20,91.84
"May 15, 2017",90.56,94.84,90.41,92.40
"May 12, 2017",92.64,93.06,89.14,89.41
"May 11, 2017",95.86,95.98,92.42,92.87
"May 10, 2017",90.84,96.27,90.17,94.85
"May 9, 2017",91.15,91.64,87.76,89.35
"May 8, 2017",88.90,91.19,87.81,90.76
"May 5, 2017",83.71,89.88,82.80,89.46
"May 4, 2017",95.10,95.10,81.70,83.71
"May 3, 2017",92.36,96.24,91.26,95.58
"May 2, 2017",96.75,97.94,92.04,93.05
"May 1, 2017",95.64,98.06,93.75,96.30
"April 28, 2017",97.44,98.90,95.74,95.99
"April 27, 2017",100.25,100.25,94.30,96.37
"April 26, 2017",100.59,104.56,100.19,102.62
"April 25, 2017",98.77,101.69,97.24,101.46
"April 24, 2017",99.78,99.82,97.42,97.52
"April 21, 2017",95.84,97.83,94.92,97.60
"April 20, 2017",96.91,97.53,95.64,96.61
"April 19, 2017",101.23,101.82,95.69,96.20
"April 18, 2017",102.51,103.99,99.74,100.91
"April 17, 2017",104.13,104.61,101.57,103.44
"April 13, 2017",108.02,109.07,103.32,103.72
"April 12, 2017",113.00,113.59,107.19,107.48
"April 11, 2017",112.65,113.43,110.84,113.27
"April 10, 2017",111.35,114.39,110.49,112.92
"April 7, 2017",112.17,112.77,109.56,110.27
"April 6, 2017",111.32,112.87,110.12,112.03
"April 5, 2017",112.66,117.17,109.39,109.94
"April 4, 2017",109.01,111.28,107.09,111.11
"April 3, 2017",113.11,113.70,107.35,108.67
"March 31, 2017",110.08,113.41,109.28,112.82
"March 30, 2017",110.62,112.50,109.54,110.53
"March 29, 2017",107.01,110.92,105.79,109.57
"March 28, 2017",104.20,108.07,103.19,107.09
"March 27, 2017",105.53,105.53,101.86,103.91
"March 24, 2017",106.28,107.85,105.55,106.25
"March 23, 2017",105.60,107.02,104.14,106.13
"March 22, 2017",104.66,106.46,102.21,105.75
"March 21, 2017",107.82,108.30,104.54,104.96
"March 20, 2017",107.30,108.54,104.70,107.86
"March 17, 2017",109.26,110.31,107.54,107.78
"March 16, 2017",109.11,112.03,107.72,109.04
"March 15, 2017",103.69,109.54,103.58,109.03
"March 14, 2017",106.21,106.21,97.01,103.07
"March 13, 2017",108.43,110.63,107.27,108.44
"March 10, 2017",109.13,111.52,105.34,108.43
