date,pe_ratio
"March 29, 2018",61.31
"March 28, 2018",60.82
"March 27, 2018",61.00
"March 26, 2018",59.97
"March 23, 2018",59.13
"March 22, 2018",59.97
"March 21, 2018",59.72
"March 20, 2018",59.44
"March 19, 2018",59.59
"March 16, 2018",60.08
"March 15, 2018",59.97
"March 14, 2018",59.77
"March 13, 2018",59.33
"March 12, 2018",59.33
"March 9, 2018",58.87
"March 8, 2018",59.18
"March 7, 2018",58.85
"March 6, 2018",59.51
"March 5, 2018",60.33
"March 2, 2018",59.41
"March 1, 2018",59.41
"Feb. 28, 2018",59.31
"Feb. 27, 2018",59.79
"Feb. 26, 2018",60.49
"Feb. 23, 2018",60.51
"Feb. 22, 2018",59.18
"Feb. 21, 2018",58.46
"Feb. 20, 2018",59.03
"Feb. 16, 2018",60.21
"Feb. 15, 2018",59.92
"Feb. 14, 2018",58.31
"Feb. 13, 2018",59.31
"Feb. 12, 2018",59.26
"Feb. 9, 2018",59.21
"Feb. 8, 2018",57.72
"Feb. 7, 2018",59.21
"Feb. 6, 2018",59.69
"Feb. 5, 2018",60.31
"Feb. 2, 2018",61.46
"Feb. 1, 2018",62.15
"Jan. 31, 2018",63.28
"Jan. 30, 2018",62.69
"Jan. 29, 2018",62.10
"Jan. 26, 2018",62.82
"Jan. 25, 2018",62.62
"Jan. 24, 2018",62.00
"Jan. 23, 2018",61.97
"Jan. 22, 2018",61.41
"Jan. 19, 2018",61.38
"Jan. 18, 2018",61.49
"Jan. 17, 2018",61.92
"Jan. 16, 2018",61.62
"Jan. 12, 2018",61.72
"Jan. 11, 2018",61.87
"Jan. 10, 2018",61.87
"Jan. 9, 2018",63.33
"Jan. 8, 2018",64.10
"Jan. 5, 2018",63.56
"Jan. 4, 2018",64.33
"Jan. 3, 2018",64.62
"Jan. 2, 2018",65.03
"Dec. 31, 2017",65.82
"Dec. 29, 2017",31.30
"Dec. 28, 2017",31.17
"Dec. 27, 2017",30.78
"Dec. 26, 2017",30.56
"Dec. 22, 2017",30.83
"Dec. 21, 2017",30.07
"Dec. 20, 2017",30.44
"Dec. 19, 2017",30.85
"Dec. 18, 2017",31.68
"Dec. 15, 2017",32.33
"Dec. 14, 2017",32.29
"Dec. 13, 2017",32.23
"Dec. 12, 2017",32.18
