date,max_drawdown_all
"Feb. 29, 1976",60.42%
"Jan. 31, 1976",60.42%
"Dec. 31, 1975",60.42%
"Nov. 30, 1975",60.42%
"Oct. 31, 1975",60.42%
"Sept. 30, 1975",60.42%
"Aug. 31, 1975",60.42%
"July 31, 1975",60.42%
"June 30, 1975",60.42%
"May 31, 1975",60.42%
"April 30, 1975",60.42%
"March 31, 1975",60.42%
"Feb. 28, 1975",60.42%
"Jan. 31, 1975",60.42%
"Dec. 31, 1974",60.42%
"Nov. 30, 1974",60.42%
"Oct. 31, 1974",60.42%
"Sept. 30, 1974",60.42%
"Aug. 31, 1974",59.58%
"July 31, 1974",52.50%
"June 30, 1974",52.50%
"May 31, 1974",50.00%
"April 30, 1974",48.75%
"March 31, 1974",47.50%
"Feb. 28, 1974",47.50%
"Jan. 31, 1974",47.50%
"Dec. 31, 1973",47.50%
"Nov. 30, 1973",47.50%
"Oct. 31, 1973",38.33%
"Sept. 30, 1973",38.33%
"Aug. 31, 1973",38.33%
"July 31, 1973",34.17%
"June 30, 1973",28.33%
"May 31, 1973",28.33%
"April 30, 1973",27.50%
"March 31, 1973",27.08%
"Feb. 28, 1973",21.67%
"Jan. 31, 1973",16.25%
"Dec. 31, 1972",13.75%
"Nov. 30, 1972",10.61%
"Oct. 31, 1972",10.61%
"Sept. 30, 1972",10.61%
"Aug. 31, 1972",10.61%
"July 31, 1972",8.08%
"June 30, 1972",6.57%
