date,enterprise_value
"Aug. 29, 2018",262.23B
"Aug. 28, 2018",261.54B
"Aug. 27, 2018",262.48B
"Aug. 24, 2018",259.91B
"Aug. 23, 2018",258.17B
"Aug. 22, 2018",259.74B
"Aug. 21, 2018",257.86B
"Aug. 20, 2018",257.50B
"Aug. 17, 2018",257.60B
"Aug. 16, 2018",257.33B
"Aug. 15, 2018",257.86B
"Aug. 14, 2018",266.75B
"Aug. 13, 2018",266.49B
"Aug. 10, 2018",268.21B
"Aug. 9, 2018",266.66B
"Aug. 8, 2018",269.25B
"Aug. 7, 2018",271.74B
"Aug. 6, 2018",270.05B
"Aug. 3, 2018",269.57B
"Aug. 2, 2018",269.02B
"Aug. 1, 2018",272.14B
"July 31, 2018",273.82B
"July 30, 2018",276.81B
"July 27, 2018",273.25B
"July 26, 2018",269.38B
"July 25, 2018",271.20B
"July 24, 2018",269.19B
"July 23, 2018",264.36B
"July 20, 2018",266.16B
"July 19, 2018",265.01B
"July 18, 2018",264.74B
"July 17, 2018",265.47B
"July 16, 2018",267.52B
"July 13, 2018",269.55B
"July 12, 2018",269.97B
"July 11, 2018",268.56B
"July 10, 2018",276.35B
"July 9, 2018",273.29B
"July 6, 2018",269.74B
"July 5, 2018",269.44B
"July 3, 2018",270.87B
"July 2, 2018",269.95B
"June 30, 2018",274.13B
"June 29, 2018",275.96B
"June 28, 2018",274.49B
"June 27, 2018",275.14B
"June 26, 2018",271.63B
"June 25, 2018",268.66B
"June 22, 2018",273.42B
"June 21, 2018",268.63B
"June 20, 2018",273.79B
"June 19, 2018",274.26B
"June 18, 2018",275.08B
"June 15, 2018",271.40B
"June 14, 2018",276.12B
"June 13, 2018",277.19B
"June 12, 2018",277.21B
"June 11, 2018",278.12B
"June 8, 2018",275.98B
"June 7, 2018",276.98B
"June 6, 2018",270.14B
"June 5, 2018",268.89B
"June 4, 2018",267.99B
"June 1, 2018",271.03B
"May 31, 2018",271.89B
"May 30, 2018",273.54B
"May 29, 2018",266.33B
"May 25, 2018",267.86B
"May 24, 2018",276.31B
"May 23, 2018",280.30B
"May 22, 2018",279.40B
"May 21, 2018",281.58B
"May 18, 2018",278.70B
"May 17, 2018",281.75B
"May 16, 2018",281.94B
"May 15, 2018",282.29B
"May 14, 2018",283.53B
"May 11, 2018",282.48B
"May 10, 2018",280.53B
"May 9, 2018",280.34B
"May 8, 2018",276.23B
"May 7, 2018",273.12B
"May 4, 2018",274.24B
"May 3, 2018",275.16B
"May 2, 2018",274.17B
"May 1, 2018",272.96B
"April 30, 2018",273.44B
"April 27, 2018",276.33B
"April 26, 2018",271.74B
"April 25, 2018",268.87B
"April 24, 2018",268.53B
"April 23, 2018",270.52B
"April 20, 2018",268.09B
"April 19, 2018",270.77B
"April 18, 2018",270.98B
"April 17, 2018",266.47B
"April 16, 2018",265.01B
"April 13, 2018",263.52B
"April 12, 2018",262.20B
"April 11, 2018",262.24B
"April 10, 2018",261.48B
"April 9, 2018",255.99B
"April 6, 2018",253.66B
"April 5, 2018",258.50B
"April 4, 2018",253.13B
"April 3, 2018",253.80B
"April 2, 2018",248.85B
"March 31, 2018",252.29B
"March 29, 2018",253.01B
"March 28, 2018",249.31B
"March 27, 2018",254.20B
"March 26, 2018",255.51B
"March 23, 2018",250.99B
"March 22, 2018",252.36B
"March 21, 2018",258.74B
"March 20, 2018",253.89B
"March 19, 2018",252.73B
"March 16, 2018",255.61B
"March 15, 2018",255.95B
"March 14, 2018",255.09B
"March 13, 2018",257.64B
"March 12, 2018",258.27B
"March 9, 2018",259.06B
"March 8, 2018",251.66B
"March 7, 2018",252.60B
"March 6, 2018",252.24B
"March 5, 2018",251.28B
"March 2, 2018",248.40B
"March 1, 2018",249.16B
"Feb. 28, 2018",248.93B
"Feb. 27, 2018",252.16B
"Feb. 26, 2018",254.05B
"Feb. 23, 2018",250.21B
"Feb. 22, 2018",245.05B
"Feb. 21, 2018",243.47B
"Feb. 20, 2018",247.14B
"Feb. 16, 2018",249.35B
"Feb. 15, 2018",250.10B
"Feb. 14, 2018",252.20B
"Feb. 13, 2018",251.55B
"Feb. 12, 2018",252.87B
"Feb. 9, 2018",251.32B
"Feb. 8, 2018",249.03B
"Feb. 7, 2018",254.73B
"Feb. 6, 2018",258.33B
"Feb. 5, 2018",249.64B
"Feb. 2, 2018",261.00B
"Feb. 1, 2018",274.31B
"Jan. 31, 2018",273.89B
"Jan. 30, 2018",273.66B
"Jan. 29, 2018",279.85B
"Jan. 26, 2018",285.01B
"Jan. 25, 2018",283.99B
"Jan. 24, 2018",285.39B
"Jan. 23, 2018",284.69B
"Jan. 22, 2018",287.62B
"Jan. 19, 2018",285.22B
"Jan. 18, 2018",285.78B
"Jan. 17, 2018",287.24B
"Jan. 16, 2018",286.58B
"Jan. 12, 2018",289.60B
"Jan. 11, 2018",287.64B
"Jan. 10, 2018",280.19B
"Jan. 9, 2018",278.63B
"Jan. 8, 2018",279.95B
"Jan. 5, 2018",278.75B
"Jan. 4, 2018",279.15B
"Jan. 3, 2018",279.91B
"Jan. 2, 2018",278.14B
"Dec. 31, 2017",273.59B
"Dec. 29, 2017",274.21B
"Dec. 28, 2017",274.95B
"Dec. 27, 2017",274.89B
"Dec. 26, 2017",275.71B
"Dec. 22, 2017",273.81B
"Dec. 21, 2017",273.50B
"Dec. 20, 2017",266.04B
"Dec. 19, 2017",264.04B
"Dec. 18, 2017",263.78B
"Dec. 15, 2017",263.84B
"Dec. 14, 2017",263.46B
"Dec. 13, 2017",264.22B
"Dec. 12, 2017",263.74B
"Dec. 11, 2017",265.15B
"Dec. 8, 2017",264.20B
"Dec. 7, 2017",263.65B
"Dec. 6, 2017",263.61B
"Dec. 5, 2017",265.09B
"Dec. 4, 2017",265.94B
"Dec. 1, 2017",263.42B
"Nov. 30, 2017",262.43B
"Nov. 29, 2017",258.99B
"Nov. 28, 2017",257.61B
"Nov. 27, 2017",255.97B
"Nov. 24, 2017",257.72B
"Nov. 22, 2017",256.58B
"Nov. 21, 2017",255.17B
"Nov. 20, 2017",254.32B
"Nov. 17, 2017",254.30B
"Nov. 16, 2017",254.04B
