date,market_cap
"Sept. 4, 2018",58.00B
"Aug. 31, 2018",57.87B
"Aug. 30, 2018",57.93B
"Aug. 29, 2018",57.51B
"Aug. 28, 2018",57.24B
"Aug. 27, 2018",57.41B
"Aug. 24, 2018",57.99B
"Aug. 23, 2018",57.62B
"Aug. 22, 2018",57.58B
"Aug. 21, 2018",57.90B
"Aug. 20, 2018",58.28B
"Aug. 17, 2018",58.61B
"Aug. 16, 2018",58.26B
"Aug. 15, 2018",58.31B
"Aug. 14, 2018",57.86B
"Aug. 13, 2018",57.66B
"Aug. 10, 2018",57.62B
"Aug. 9, 2018",57.57B
"Aug. 8, 2018",57.29B
"Aug. 7, 2018",57.62B
"Aug. 6, 2018",57.79B
"Aug. 3, 2018",58.09B
"Aug. 2, 2018",57.31B
"Aug. 1, 2018",57.74B
"July 31, 2018",58.14B
"July 30, 2018",57.51B
"July 27, 2018",57.74B
"July 26, 2018",57.77B
"July 25, 2018",57.09B
"July 24, 2018",56.88B
"July 23, 2018",56.94B
"July 20, 2018",57.42B
"July 19, 2018",57.81B
"July 18, 2018",57.27B
"July 17, 2018",57.42B
"July 16, 2018",57.52B
"July 13, 2018",57.40B
"July 12, 2018",57.32B
"July 11, 2018",57.23B
"July 10, 2018",56.62B
"July 9, 2018",55.99B
"July 6, 2018",58.11B
"July 5, 2018",57.39B
"July 3, 2018",56.82B
"July 2, 2018",56.79B
"June 29, 2018",55.44B
"June 28, 2018",55.54B
"June 27, 2018",55.74B
"June 26, 2018",55.23B
"June 25, 2018",55.44B
"June 22, 2018",54.28B
"June 21, 2018",53.91B
"June 20, 2018",53.41B
"June 19, 2018",53.05B
"June 18, 2018",52.16B
"June 15, 2018",52.08B
"June 14, 2018",51.50B
"June 13, 2018",50.65B
"June 12, 2018",50.81B
"June 11, 2018",50.56B
"June 8, 2018",51.26B
"June 7, 2018",51.51B
"June 6, 2018",51.27B
"June 5, 2018",52.40B
"June 4, 2018",52.83B
"June 1, 2018",53.33B
"May 31, 2018",54.09B
"May 30, 2018",53.96B
"May 29, 2018",53.70B
"May 25, 2018",53.14B
"May 24, 2018",53.09B
"May 23, 2018",52.48B
"May 22, 2018",51.92B
"May 21, 2018",51.65B
"May 18, 2018",51.73B
"May 17, 2018",51.98B
"May 16, 2018",53.30B
"May 15, 2018",53.93B
"May 14, 2018",54.56B
"May 11, 2018",54.62B
"May 10, 2018",54.79B
"May 9, 2018",54.43B
"May 8, 2018",54.59B
"May 7, 2018",55.73B
"May 4, 2018",56.00B
"May 3, 2018",55.91B
"May 2, 2018",56.07B
"May 1, 2018",55.96B
"April 30, 2018",56.19B
"April 27, 2018",56.43B
"April 26, 2018",55.97B
"April 25, 2018",55.30B
"April 24, 2018",54.83B
"April 23, 2018",54.67B
"April 20, 2018",54.45B
"April 19, 2018",55.04B
"April 18, 2018",54.87B
"April 17, 2018",55.03B
"April 16, 2018",54.65B
"April 13, 2018",53.75B
"April 12, 2018",53.37B
"April 11, 2018",54.03B
"April 10, 2018",54.34B
"April 9, 2018",55.01B
"April 6, 2018",54.79B
"April 5, 2018",55.10B
"April 4, 2018",54.48B
"April 3, 2018",54.16B
"April 2, 2018",54.05B
"March 29, 2018",54.28B
"March 28, 2018",54.24B
"March 27, 2018",54.02B
"March 26, 2018",53.19B
"March 23, 2018",52.66B
"March 22, 2018",53.38B
"March 21, 2018",53.37B
"March 20, 2018",53.55B
"March 19, 2018",53.97B
"March 16, 2018",54.36B
"March 15, 2018",53.76B
"March 14, 2018",53.95B
"March 13, 2018",53.58B
"March 12, 2018",53.63B
"March 9, 2018",53.34B
"March 8, 2018",53.24B
"March 7, 2018",52.72B
"March 6, 2018",53.15B
"March 5, 2018",54.29B
"March 2, 2018",52.77B
"March 1, 2018",52.91B
"Feb. 28, 2018",52.76B
"Feb. 27, 2018",53.45B
"Feb. 26, 2018",54.57B
"Feb. 23, 2018",54.06B
"Feb. 22, 2018",52.89B
"Feb. 21, 2018",52.74B
"Feb. 20, 2018",52.99B
"Feb. 16, 2018",53.70B
"Feb. 15, 2018",53.35B
"Feb. 14, 2018",52.84B
"Feb. 13, 2018",53.96B
"Feb. 12, 2018",53.77B
"Feb. 9, 2018",53.28B
"Feb. 8, 2018",52.03B
"Feb. 7, 2018",52.09B
"Feb. 6, 2018",52.15B
"Feb. 5, 2018",53.07B
"Feb. 2, 2018",53.58B
"Feb. 1, 2018",53.80B
"Jan. 31, 2018",54.96B
"Jan. 30, 2018",54.36B
"Jan. 29, 2018",54.10B
"Jan. 26, 2018",55.18B
"Jan. 25, 2018",55.23B
"Jan. 24, 2018",54.07B
"Jan. 23, 2018",54.40B
"Jan. 22, 2018",53.86B
"Jan. 19, 2018",53.77B
"Jan. 18, 2018",54.14B
"Jan. 17, 2018",54.89B
"Jan. 16, 2018",54.89B
"Jan. 12, 2018",55.23B
"Jan. 11, 2018",55.50B
"Jan. 10, 2018",56.08B
"Jan. 9, 2018",56.87B
"Jan. 8, 2018",57.54B
"Jan. 5, 2018",57.36B
"Jan. 4, 2018",57.62B
"Jan. 3, 2018",58.08B
"Jan. 2, 2018",58.26B
"Dec. 29, 2017",58.87B
"Dec. 28, 2017",58.79B
"Dec. 27, 2017",58.78B
"Dec. 26, 2017",58.52B
"Dec. 22, 2017",58.92B
"Dec. 21, 2017",59.01B
"Dec. 20, 2017",59.14B
"Dec. 19, 2017",59.50B
"Dec. 18, 2017",60.58B
"Dec. 15, 2017",61.49B
"Dec. 14, 2017",61.29B
"Dec. 13, 2017",61.29B
"Dec. 12, 2017",60.99B
"Dec. 11, 2017",61.86B
"Dec. 8, 2017",61.63B
"Dec. 7, 2017",61.53B
"Dec. 6, 2017",61.81B
"Dec. 5, 2017",61.57B
"Dec. 4, 2017",62.03B
"Dec. 1, 2017",62.11B
"Nov. 30, 2017",62.42B
"Nov. 29, 2017",62.30B
"Nov. 28, 2017",62.28B
"Nov. 27, 2017",62.21B
"Nov. 24, 2017",62.14B
"Nov. 22, 2017",62.04B
"Nov. 21, 2017",62.16B
"Nov. 20, 2017",62.06B
"Nov. 17, 2017",61.96B
"Nov. 16, 2017",62.44B
"Nov. 15, 2017",63.40B
"Nov. 14, 2017",63.76B
"Nov. 13, 2017",62.91B
"Nov. 10, 2017",62.22B
"Nov. 9, 2017",62.74B
"Nov. 8, 2017",62.46B
"Nov. 7, 2017",62.55B
"Nov. 6, 2017",61.51B
"Nov. 3, 2017",61.96B
"Nov. 2, 2017",61.99B
"Nov. 1, 2017",61.50B
"Oct. 31, 2017",61.81B
"Oct. 30, 2017",61.67B
"Oct. 27, 2017",61.56B
"Oct. 26, 2017",61.15B
"Oct. 25, 2017",61.42B
"Oct. 24, 2017",61.59B
"Oct. 23, 2017",61.28B
"Oct. 20, 2017",61.55B
"Oct. 19, 2017",61.49B
"Oct. 18, 2017",60.93B
"Oct. 17, 2017",61.25B
"Oct. 16, 2017",60.99B
"Oct. 13, 2017",60.75B
"Oct. 12, 2017",60.88B
"Oct. 11, 2017",60.47B
"Oct. 10, 2017",60.05B
"Oct. 9, 2017",59.37B
"Oct. 6, 2017",59.25B
"Oct. 5, 2017",59.00B
"Oct. 4, 2017",59.13B
"Oct. 3, 2017",58.69B
"Oct. 2, 2017",59.05B
"Sept. 29, 2017",58.74B
"Sept. 28, 2017",58.98B
"Sept. 27, 2017",58.75B
"Sept. 26, 2017",59.37B
"Sept. 25, 2017",59.59B
"Sept. 22, 2017",58.97B
"Sept. 21, 2017",59.61B
"Sept. 20, 2017",59.64B
"Sept. 19, 2017",60.18B
"Sept. 18, 2017",60.24B
