date,enterprise_value
"Nov. 9, 2016",6.990B
"Nov. 8, 2016",6.849B
"Nov. 7, 2016",6.965B
"Nov. 4, 2016",6.901B
"Nov. 3, 2016",6.926B
"Nov. 2, 2016",7.060B
"Nov. 1, 2016",7.111B
"Oct. 31, 2016",7.114B
"Oct. 28, 2016",7.108B
"Oct. 27, 2016",7.116B
"Oct. 26, 2016",7.106B
"Oct. 25, 2016",7.155B
"Oct. 24, 2016",7.195B
"Oct. 21, 2016",7.193B
"Oct. 20, 2016",7.167B
"Oct. 19, 2016",7.144B
"Oct. 18, 2016",7.141B
"Oct. 17, 2016",7.131B
"Oct. 14, 2016",7.097B
"Oct. 13, 2016",7.099B
"Oct. 12, 2016",7.120B
"Oct. 11, 2016",7.128B
"Oct. 10, 2016",7.147B
"Oct. 7, 2016",7.104B
"Oct. 6, 2016",7.116B
"Oct. 5, 2016",7.106B
"Oct. 4, 2016",7.141B
"Oct. 3, 2016",7.181B
"Sept. 30, 2016",7.164B
