date,us_crude_oil_production
"March 31, 1997",200.01M
"Feb. 28, 1997",182.40M
"Jan. 31, 1997",198.47M
"Dec. 31, 1996",201.68M
"Nov. 30, 1996",194.27M
"Oct. 31, 1996",200.91M
"Sept. 30, 1996",194.46M
"Aug. 31, 1996",197.16M
"July 31, 1996",196.47M
"June 30, 1996",193.75M
"May 31, 1996",198.21M
"April 30, 1996",193.32M
"March 31, 1996",203.72M
"Feb. 29, 1996",190.73M
"Jan. 31, 1996",201.35M
"Dec. 31, 1995",202.43M
"Nov. 30, 1995",197.56M
"Oct. 31, 1995",199.06M
"Sept. 30, 1995",192.48M
"Aug. 31, 1995",199.85M
"July 31, 1995",199.91M
"June 30, 1995",197.36M
"May 31, 1995",205.51M
"April 30, 1995",198.11M
"March 31, 1995",204.61M
"Feb. 28, 1995",190.24M
"Jan. 31, 1995",207.15M
"Dec. 31, 1994",209.55M
"Nov. 30, 1994",198.85M
"Oct. 31, 1994",206.40M
"Sept. 30, 1994",198.26M
"Aug. 31, 1994",202.87M
"July 31, 1994",201.53M
"June 30, 1994",198.32M
"May 31, 1994",207.33M
"April 30, 1994",198.36M
"March 31, 1994",209.11M
"Feb. 28, 1994",189.57M
"Jan. 31, 1994",211.32M
"Dec. 31, 1993",212.58M
"Nov. 30, 1993",207.35M
"Oct. 31, 1993",212.00M
"Sept. 30, 1993",201.35M
"Aug. 31, 1993",209.49M
"July 31, 1993",207.34M
"June 30, 1993",203.84M
"May 31, 1993",212.26M
"April 30, 1993",206.44M
"March 31, 1993",216.20M
"Feb. 28, 1993",194.39M
"Jan. 31, 1993",215.79M
"Dec. 31, 1992",220.20M
"Nov. 30, 1992",210.72M
"Oct. 31, 1992",220.90M
"Sept. 30, 1992",210.90M
"Aug. 31, 1992",214.58M
"July 31, 1992",221.06M
"June 30, 1992",215.02M
"May 31, 1992",222.23M
"April 30, 1992",218.78M
"March 31, 1992",227.80M
"Feb. 29, 1992",214.27M
"Jan. 31, 1992",228.18M
"Dec. 31, 1991",226.27M
"Nov. 30, 1991",219.83M
"Oct. 31, 1991",230.56M
"Sept. 30, 1991",221.03M
"Aug. 31, 1991",226.80M
"July 31, 1991",227.76M
"June 30, 1991",219.61M
"May 31, 1991",229.67M
"April 30, 1991",225.26M
"March 31, 1991",233.93M
"Feb. 28, 1991",213.84M
"Jan. 31, 1991",232.50M
"Dec. 31, 1990",227.46M
"Nov. 30, 1990",221.60M
"Oct. 31, 1990",233.80M
"Sept. 30, 1990",216.72M
"Aug. 31, 1990",225.89M
"July 31, 1990",222.37M
"June 30, 1990",213.18M
"May 31, 1990",227.18M
"April 30, 1990",222.22M
"March 31, 1990",230.43M
"Feb. 28, 1990",209.92M
"Jan. 31, 1990",233.93M
"Dec. 31, 1989",227.44M
"Nov. 30, 1989",226.08M
"Oct. 31, 1989",231.04M
"Sept. 30, 1989",226.44M
"Aug. 31, 1989",233.88M
"July 31, 1989",230.77M
"June 30, 1989",228.73M
"May 31, 1989",242.30M
"April 30, 1989",233.15M
"March 31, 1989",234.82M
"Feb. 28, 1989",218.08M
"Jan. 31, 1989",246.06M
"Dec. 31, 1988",246.19M
"Nov. 30, 1988",240.70M
"Oct. 31, 1988",248.70M
"Sept. 30, 1988",236.85M
"Aug. 31, 1988",250.46M
"July 31, 1988",249.23M
"June 30, 1988",245.10M
"May 31, 1988",255.09M
"April 30, 1988",248.63M
"March 31, 1988",259.59M
"Feb. 29, 1988",242.85M
"Jan. 31, 1988",255.74M
"Dec. 31, 1987",257.84M
"Nov. 30, 1987",251.92M
"Oct. 31, 1987",259.27M
"Sept. 30, 1987",246.16M
"Aug. 31, 1987",254.51M
"July 31, 1987",255.78M
"June 30, 1987",248.36M
"May 31, 1987",258.43M
"April 30, 1987",254.94M
"March 31, 1987",262.40M
"Feb. 28, 1987",234.88M
"Jan. 31, 1987",262.89M
"Dec. 31, 1986",258.93M
"Nov. 30, 1986",252.37M
"Oct. 31, 1986",260.98M
"Sept. 30, 1986",249.84M
"Aug. 31, 1986",259.58M
"July 31, 1986",268.45M
"June 30, 1986",258.70M
"May 31, 1986",273.96M
"April 30, 1986",265.92M
"March 31, 1986",279.41M
"Feb. 28, 1986",256.86M
"Jan. 31, 1986",283.25M
"Dec. 31, 1985",279.92M
"Nov. 30, 1985",267.06M
"Oct. 31, 1985",278.07M
"Sept. 30, 1985",268.61M
"Aug. 31, 1985",272.88M
"July 31, 1985",277.41M
"June 30, 1985",270.65M
"May 31, 1985",283.09M
"April 30, 1985",271.30M
"March 31, 1985",281.94M
"Feb. 28, 1985",252.70M
"Jan. 31, 1985",270.93M
"Dec. 31, 1984",275.80M
"Nov. 30, 1984",269.36M
"Oct. 31, 1984",276.08M
"Sept. 30, 1984",269.80M
"Aug. 31, 1984",273.09M
"July 31, 1984",275.43M
"June 30, 1984",265.57M
"May 31, 1984",277.62M
"April 30, 1984",265.87M
"March 31, 1984",268.83M
"Feb. 29, 1984",257.36M
"Jan. 31, 1984",274.90M
"Dec. 31, 1983",260.29M
"Nov. 30, 1983",263.11M
"Oct. 31, 1983",271.89M
"Sept. 30, 1983",263.53M
"Aug. 31, 1983",269.05M
"July 31, 1983",267.72M
"June 30, 1983",260.01M
"May 31, 1983",267.58M
"April 30, 1983",263.27M
"March 31, 1983",269.71M
"Feb. 28, 1983",245.24M
"Jan. 31, 1983",269.60M
"Dec. 31, 1982",266.54M
"Nov. 30, 1982",260.92M
"Oct. 31, 1982",269.74M
"Sept. 30, 1982",261.03M
"Aug. 31, 1982",267.64M
"July 31, 1982",268.40M
"June 30, 1982",259.38M
"May 31, 1982",269.19M
"April 30, 1982",257.74M
"March 31, 1982",268.69M
"Feb. 28, 1982",243.66M
"Jan. 31, 1982",263.79M
"Dec. 31, 1981",266.15M
"Nov. 30, 1981",257.58M
"Oct. 31, 1981",265.45M
"Sept. 30, 1981",258.12M
"Aug. 31, 1981",266.07M
"July 31, 1981",263.50M
"June 30, 1981",258.86M
"May 31, 1981",263.54M
"April 30, 1981",256.71M
"March 31, 1981",267.00M
"Feb. 28, 1981",240.91M
"Jan. 31, 1981",264.74M
"Dec. 31, 1980",266.78M
"Nov. 30, 1980",254.85M
"Oct. 31, 1980",264.49M
