date,us_total_population
"Feb. 28, 1955",164.81M
"Jan. 31, 1955",164.59M
"Dec. 31, 1954",164.35M
"Nov. 30, 1954",164.11M
"Oct. 31, 1954",163.85M
"Sept. 30, 1954",163.57M
"Aug. 31, 1954",163.29M
"July 31, 1954",163.03M
"June 30, 1954",162.79M
"May 31, 1954",162.56M
"April 30, 1954",162.35M
"March 31, 1954",162.12M
"Feb. 28, 1954",161.91M
"Jan. 31, 1954",161.69M
"Dec. 31, 1953",161.45M
"Nov. 30, 1953",161.22M
"Oct. 31, 1953",160.98M
"Sept. 30, 1953",160.72M
"Aug. 31, 1953",160.45M
"July 31, 1953",160.18M
"June 30, 1953",159.96M
"May 31, 1953",159.74M
"April 30, 1953",159.56M
"March 31, 1953",159.35M
"Feb. 28, 1953",159.17M
"Jan. 31, 1953",158.97M
"Dec. 31, 1952",158.76M
"Nov. 30, 1952",158.45M
"Oct. 31, 1952",158.31M
"Sept. 30, 1952",158.05M
"Aug. 31, 1952",157.80M
"July 31, 1952",157.55M
"June 30, 1952",157.34M
"May 31, 1952",157.14M
"April 30, 1952",156.94M
"March 31, 1952",156.73M
"Feb. 29, 1952",156.53M
"Jan. 31, 1952",156.31M
