date,year_high
"June 21, 2018",139.24
"June 20, 2018",139.24
"June 19, 2018",139.24
"June 18, 2018",139.24
"June 15, 2018",139.24
"June 14, 2018",139.24
"June 13, 2018",139.24
"June 12, 2018",139.24
"June 11, 2018",139.24
"June 8, 2018",139.24
"June 7, 2018",139.24
"June 6, 2018",139.24
"June 5, 2018",139.24
"June 4, 2018",139.24
"June 1, 2018",139.24
"May 31, 2018",139.24
"May 30, 2018",139.24
"May 29, 2018",139.24
"May 25, 2018",139.24
"May 24, 2018",139.24
"May 23, 2018",139.24
"May 22, 2018",139.24
"May 21, 2018",139.24
"May 18, 2018",139.24
"May 17, 2018",139.24
"May 16, 2018",139.24
"May 15, 2018",139.24
"May 14, 2018",139.24
"May 11, 2018",139.24
"May 10, 2018",139.24
"May 9, 2018",139.24
"May 8, 2018",139.24
"May 7, 2018",139.24
"May 4, 2018",139.24
"May 3, 2018",139.24
"May 2, 2018",139.24
"May 1, 2018",139.24
"April 30, 2018",139.24
"April 27, 2018",139.24
"April 26, 2018",139.24
"April 25, 2018",139.24
"April 24, 2018",139.24
"April 23, 2018",139.24
"April 20, 2018",139.24
"April 19, 2018",139.24
"April 18, 2018",139.24
"April 17, 2018",139.24
"April 16, 2018",139.24
"April 13, 2018",139.24
"April 12, 2018",139.24
"April 11, 2018",139.24
"April 10, 2018",139.24
"April 9, 2018",139.24
"April 6, 2018",139.24
"April 5, 2018",139.24
"April 4, 2018",139.24
"April 3, 2018",139.24
"April 2, 2018",139.24
"March 29, 2018",139.24
"March 28, 2018",139.24
"March 27, 2018",139.24
"March 26, 2018",139.24
"March 23, 2018",139.24
"March 22, 2018",139.24
"March 21, 2018",139.24
"March 20, 2018",139.24
"March 19, 2018",139.24
"March 16, 2018",139.24
"March 15, 2018",139.24
"March 14, 2018",139.24
"March 13, 2018",139.24
"March 12, 2018",139.24
"March 9, 2018",139.24
"March 8, 2018",139.24
"March 7, 2018",139.24
"March 6, 2018",139.24
"March 5, 2018",139.24
"March 2, 2018",139.24
"March 1, 2018",139.24
"Feb. 28, 2018",139.24
"Feb. 27, 2018",139.24
"Feb. 26, 2018",139.24
"Feb. 23, 2018",139.24
"Feb. 22, 2018",139.24
"Feb. 21, 2018",139.24
"Feb. 20, 2018",139.24
"Feb. 16, 2018",139.24
"Feb. 15, 2018",139.24
"Feb. 14, 2018",139.24
"Feb. 13, 2018",139.24
"Feb. 12, 2018",139.24
"Feb. 9, 2018",139.24
"Feb. 8, 2018",139.24
"Feb. 7, 2018",139.24
"Feb. 6, 2018",139.24
"Feb. 5, 2018",139.24
"Feb. 2, 2018",139.24
"Feb. 1, 2018",139.24
"Jan. 31, 2018",139.24
"Jan. 30, 2018",139.24
