date,ev_ebit
"March 22, 2018",13.62
"March 21, 2018",13.89
"March 20, 2018",13.90
"March 19, 2018",13.90
"March 16, 2018",14.01
"March 15, 2018",14.09
"March 14, 2018",14.12
"March 13, 2018",14.17
"March 12, 2018",14.30
"March 9, 2018",14.53
"March 8, 2018",14.27
"March 7, 2018",14.24
"March 6, 2018",14.31
"March 5, 2018",14.32
"March 2, 2018",14.15
"March 1, 2018",14.18
"Feb. 28, 2018",14.59
"Feb. 27, 2018",14.51
"Feb. 26, 2018",14.65
"Feb. 23, 2018",14.44
"Feb. 22, 2018",14.48
"Feb. 21, 2018",14.09
"Feb. 20, 2018",13.83
"Feb. 16, 2018",14.09
"Feb. 15, 2018",14.16
"Feb. 14, 2018",13.85
"Feb. 13, 2018",13.77
"Feb. 12, 2018",13.92
"Feb. 9, 2018",13.70
"Feb. 8, 2018",13.93
"Feb. 7, 2018",14.33
"Feb. 6, 2018",14.14
"Feb. 5, 2018",13.90
"Feb. 2, 2018",14.58
"Feb. 1, 2018",14.91
"Jan. 31, 2018",14.88
"Jan. 30, 2018",14.74
"Jan. 29, 2018",14.75
"Jan. 26, 2018",14.87
"Jan. 25, 2018",14.85
"Jan. 24, 2018",14.66
"Jan. 23, 2018",14.69
"Jan. 22, 2018",14.62
"Jan. 19, 2018",14.68
"Jan. 18, 2018",14.57
"Jan. 17, 2018",14.55
"Jan. 16, 2018",14.51
"Jan. 12, 2018",14.74
"Jan. 11, 2018",14.60
"Jan. 10, 2018",14.59
"Jan. 9, 2018",14.53
"Jan. 8, 2018",14.40
"Jan. 5, 2018",14.29
"Jan. 4, 2018",14.19
"Jan. 3, 2018",14.15
"Jan. 2, 2018",13.98
"Dec. 31, 2017",13.92
"Dec. 29, 2017",14.41
"Dec. 28, 2017",14.46
"Dec. 27, 2017",14.41
"Dec. 26, 2017",14.37
"Dec. 22, 2017",14.38
"Dec. 21, 2017",14.38
"Dec. 20, 2017",14.36
"Dec. 19, 2017",14.33
"Dec. 18, 2017",14.33
"Dec. 15, 2017",14.28
"Dec. 14, 2017",14.05
"Dec. 13, 2017",14.10
"Dec. 12, 2017",14.02
"Dec. 11, 2017",14.01
"Dec. 8, 2017",13.96
"Dec. 7, 2017",13.92
"Dec. 6, 2017",13.81
"Dec. 5, 2017",13.72
"Dec. 4, 2017",13.70
"Dec. 1, 2017",13.71
"Nov. 30, 2017",13.83
"Nov. 29, 2017",13.52
"Nov. 28, 2017",13.48
"Nov. 27, 2017",13.43
"Nov. 24, 2017",13.41
"Nov. 22, 2017",13.39
"Nov. 21, 2017",13.42
"Nov. 20, 2017",13.36
"Nov. 17, 2017",13.37
"Nov. 16, 2017",13.50
"Nov. 15, 2017",13.47
"Nov. 14, 2017",13.58
"Nov. 13, 2017",13.42
"Nov. 10, 2017",13.52
"Nov. 9, 2017",13.54
"Nov. 8, 2017",13.72
"Nov. 7, 2017",13.77
"Nov. 6, 2017",13.73
"Nov. 3, 2017",13.80
"Nov. 2, 2017",13.83
"Nov. 1, 2017",13.71
"Oct. 31, 2017",13.68
"Oct. 30, 2017",13.68
"Oct. 27, 2017",13.61
"Oct. 26, 2017",13.69
"Oct. 25, 2017",13.60
"Oct. 24, 2017",13.67
"Oct. 23, 2017",13.78
"Oct. 20, 2017",13.79
"Oct. 19, 2017",13.65
"Oct. 18, 2017",13.62
"Oct. 17, 2017",13.64
"Oct. 16, 2017",13.60
"Oct. 13, 2017",13.58
"Oct. 12, 2017",13.59
"Oct. 11, 2017",13.49
"Oct. 10, 2017",13.52
"Oct. 9, 2017",13.57
"Oct. 6, 2017",13.53
"Oct. 5, 2017",13.53
"Oct. 4, 2017",13.47
"Oct. 3, 2017",13.48
"Oct. 2, 2017",13.47
"Sept. 30, 2017",13.33
"Sept. 29, 2017",13.02
"Sept. 28, 2017",13.00
"Sept. 27, 2017",13.13
"Sept. 26, 2017",12.90
"Sept. 25, 2017",12.86
"Sept. 22, 2017",12.92
"Sept. 21, 2017",12.88
"Sept. 20, 2017",12.84
"Sept. 19, 2017",12.80
"Sept. 18, 2017",12.72
"Sept. 15, 2017",12.74
"Sept. 14, 2017",12.75
"Sept. 13, 2017",12.48
"Sept. 12, 2017",12.44
"Sept. 11, 2017",12.42
"Sept. 8, 2017",12.42
"Sept. 7, 2017",12.46
"Sept. 6, 2017",12.42
"Sept. 5, 2017",12.57
"Sept. 1, 2017",13.19
"Aug. 31, 2017",13.36
"Aug. 30, 2017",13.35
"Aug. 29, 2017",13.27
"Aug. 28, 2017",12.96
"Aug. 25, 2017",12.93
"Aug. 24, 2017",12.95
"Aug. 23, 2017",13.12
"Aug. 22, 2017",12.99
"Aug. 21, 2017",12.95
"Aug. 18, 2017",12.97
"Aug. 17, 2017",13.03
"Aug. 16, 2017",13.21
"Aug. 15, 2017",13.02
"Aug. 14, 2017",13.13
"Aug. 11, 2017",13.10
"Aug. 10, 2017",13.09
"Aug. 9, 2017",13.13
"Aug. 8, 2017",13.22
"Aug. 7, 2017",13.25
"Aug. 4, 2017",13.53
"Aug. 3, 2017",13.49
"Aug. 2, 2017",13.42
"Aug. 1, 2017",13.29
"July 31, 2017",13.26
"July 28, 2017",13.29
"July 27, 2017",13.27
"July 26, 2017",13.35
"July 25, 2017",13.43
"July 24, 2017",13.68
"July 21, 2017",13.72
"July 20, 2017",13.62
"July 19, 2017",13.68
"July 18, 2017",13.64
"July 17, 2017",13.68
"July 14, 2017",13.71
"July 13, 2017",13.68
"July 12, 2017",13.74
"July 11, 2017",13.72
"July 10, 2017",13.68
"July 7, 2017",13.63
"July 6, 2017",13.57
"July 5, 2017",13.65
"July 3, 2017",13.59
"June 30, 2017",13.59
"June 29, 2017",13.52
"June 28, 2017",13.60
"June 27, 2017",13.52
"June 26, 2017",13.54
"June 23, 2017",13.58
"June 22, 2017",13.57
"June 21, 2017",13.53
"June 20, 2017",13.51
"June 19, 2017",13.54
"June 16, 2017",13.41
"June 15, 2017",13.44
"June 14, 2017",13.37
"June 13, 2017",13.37
"June 12, 2017",13.36
"June 9, 2017",13.43
"June 8, 2017",13.36
"June 7, 2017",13.35
"June 6, 2017",13.38
"June 5, 2017",13.46
"June 2, 2017",13.57
"June 1, 2017",13.54
"May 31, 2017",13.49
"May 30, 2017",13.49
"May 26, 2017",13.54
"May 25, 2017",13.58
"May 24, 2017",13.56
"May 23, 2017",13.56
"May 22, 2017",13.52
"May 19, 2017",13.48
"May 18, 2017",13.31
"May 17, 2017",13.33
"May 16, 2017",13.50
"May 15, 2017",13.45
"May 12, 2017",13.45
"May 11, 2017",13.49
"May 10, 2017",13.46
"May 9, 2017",13.50
"May 8, 2017",13.47
"May 5, 2017",13.49
"May 4, 2017",13.46
"May 3, 2017",13.40
"May 2, 2017",13.31
"May 1, 2017",13.27
"April 28, 2017",13.27
"April 27, 2017",13.26
"April 26, 2017",13.20
"April 25, 2017",13.08
"April 24, 2017",13.03
"April 21, 2017",12.90
"April 20, 2017",12.81
"April 19, 2017",12.71
"April 18, 2017",12.77
"April 17, 2017",12.74
"April 13, 2017",12.63
"April 12, 2017",12.65
"April 11, 2017",12.73
"April 10, 2017",12.71
"April 7, 2017",12.72
"April 6, 2017",12.66
"April 5, 2017",12.67
"April 4, 2017",12.72
"April 3, 2017",12.62
"March 31, 2017",12.64
"March 30, 2017",13.08
"March 29, 2017",13.04
"March 28, 2017",13.11
"March 27, 2017",13.02
"March 24, 2017",13.02
"March 23, 2017",13.02
"March 22, 2017",13.03
"March 21, 2017",13.05
"March 20, 2017",13.18
"March 17, 2017",13.18
"March 16, 2017",13.07
"March 15, 2017",13.14
"March 14, 2017",13.02
"March 13, 2017",13.07
"March 10, 2017",13.05
"March 9, 2017",13.03
"March 8, 2017",13.01
"March 7, 2017",13.06
"March 6, 2017",13.00
"March 3, 2017",13.07
"March 2, 2017",13.10
"March 1, 2017",13.20
"Feb. 28, 2017",13.09
"Feb. 27, 2017",13.17
"Feb. 24, 2017",13.14
"Feb. 23, 2017",13.10
"Feb. 22, 2017",13.16
"Feb. 21, 2017",13.14
"Feb. 17, 2017",13.11
"Feb. 16, 2017",13.10
"Feb. 15, 2017",13.08
"Feb. 14, 2017",13.05
"Feb. 13, 2017",13.09
"Feb. 10, 2017",13.00
"Feb. 9, 2017",12.91
"Feb. 8, 2017",12.94
"Feb. 7, 2017",13.02
"Feb. 6, 2017",12.96
"Feb. 3, 2017",12.86
"Feb. 2, 2017",12.74
"Feb. 1, 2017",12.72
"Jan. 31, 2017",12.87
"Jan. 30, 2017",12.86
"Jan. 27, 2017",12.91
"Jan. 26, 2017",12.97
"Jan. 25, 2017",13.03
"Jan. 24, 2017",13.09
"Jan. 23, 2017",12.97
"Jan. 20, 2017",13.01
"Jan. 19, 2017",13.01
"Jan. 18, 2017",12.98
"Jan. 17, 2017",12.93
"Jan. 13, 2017",12.96
"Jan. 12, 2017",13.02
"Jan. 11, 2017",13.03
"Jan. 10, 2017",13.06
"Jan. 9, 2017",13.08
"Jan. 6, 2017",13.18
"Jan. 5, 2017",13.07
"Jan. 4, 2017",13.02
"Jan. 3, 2017",13.02
"Dec. 31, 2016",12.90
"Dec. 30, 2016",15.29
"Dec. 29, 2016",15.40
"Dec. 28, 2016",15.35
"Dec. 27, 2016",15.45
"Dec. 23, 2016",15.41
"Dec. 22, 2016",15.39
"Dec. 21, 2016",15.39
"Dec. 20, 2016",15.41
"Dec. 19, 2016",15.43
"Dec. 16, 2016",15.16
"Dec. 15, 2016",15.11
"Dec. 14, 2016",15.25
"Dec. 13, 2016",15.37
"Dec. 12, 2016",15.38
"Dec. 9, 2016",15.31
"Dec. 8, 2016",15.15
"Dec. 7, 2016",15.29
"Dec. 6, 2016",15.03
"Dec. 5, 2016",15.03
"Dec. 2, 2016",15.12
"Dec. 1, 2016",15.04
"Nov. 30, 2016",15.07
"Nov. 29, 2016",15.20
"Nov. 28, 2016",15.15
"Nov. 25, 2016",15.19
"Nov. 23, 2016",15.11
"Nov. 22, 2016",14.97
"Nov. 21, 2016",14.96
"Nov. 18, 2016",14.92
"Nov. 17, 2016",14.95
"Nov. 16, 2016",14.98
"Nov. 15, 2016",15.06
"Nov. 14, 2016",15.08
"Nov. 11, 2016",15.20
"Nov. 10, 2016",15.15
"Nov. 9, 2016",14.72
"Nov. 8, 2016",14.56
"Nov. 7, 2016",14.52
"Nov. 4, 2016",14.32
"Nov. 3, 2016",14.28
"Nov. 2, 2016",14.34
"Nov. 1, 2016",14.40
"Oct. 31, 2016",14.42
"Oct. 28, 2016",14.38
"Oct. 27, 2016",14.17
"Oct. 26, 2016",14.28
"Oct. 25, 2016",14.32
"Oct. 24, 2016",14.10
"Oct. 21, 2016",14.00
"Oct. 20, 2016",14.08
"Oct. 19, 2016",14.13
"Oct. 18, 2016",14.16
"Oct. 17, 2016",14.13
"Oct. 14, 2016",14.18
"Oct. 13, 2016",14.14
"Oct. 12, 2016",14.03
"Oct. 11, 2016",14.02
"Oct. 10, 2016",14.16
"Oct. 7, 2016",14.23
"Oct. 6, 2016",14.40
"Oct. 5, 2016",14.42
"Oct. 4, 2016",14.33
"Oct. 3, 2016",14.44
"Sept. 30, 2016",14.35
"Sept. 29, 2016",14.38
"Sept. 28, 2016",14.53
"Sept. 27, 2016",14.53
"Sept. 26, 2016",14.51
"Sept. 23, 2016",14.55
"Sept. 22, 2016",14.60
"Sept. 21, 2016",14.48
"Sept. 20, 2016",14.28
"Sept. 19, 2016",14.30
"Sept. 16, 2016",14.26
"Sept. 15, 2016",14.57
"Sept. 14, 2016",14.45
"Sept. 13, 2016",14.52
"Sept. 12, 2016",14.73
"Sept. 9, 2016",14.57
"Sept. 8, 2016",14.93
"Sept. 7, 2016",14.94
"Sept. 6, 2016",14.96
"Sept. 2, 2016",15.07
"Sept. 1, 2016",15.04
"Aug. 31, 2016",15.01
"Aug. 30, 2016",15.12
"Aug. 29, 2016",15.19
"Aug. 26, 2016",15.11
"Aug. 25, 2016",15.16
"Aug. 24, 2016",15.19
"Aug. 23, 2016",15.19
"Aug. 22, 2016",15.25
"Aug. 19, 2016",15.33
"Aug. 18, 2016",15.35
"Aug. 17, 2016",15.31
"Aug. 16, 2016",15.33
"Aug. 15, 2016",15.39
"Aug. 12, 2016",15.30
"Aug. 11, 2016",15.33
"Aug. 10, 2016",15.21
"Aug. 9, 2016",15.23
"Aug. 8, 2016",15.17
"Aug. 5, 2016",15.16
"Aug. 4, 2016",15.00
"Aug. 3, 2016",14.99
"Aug. 2, 2016",14.99
"Aug. 1, 2016",15.07
"July 29, 2016",15.15
"July 28, 2016",15.14
"July 27, 2016",15.16
"July 26, 2016",15.18
"July 25, 2016",14.80
"July 22, 2016",14.86
"July 21, 2016",14.94
"July 20, 2016",14.96
"July 19, 2016",14.91
"July 18, 2016",14.90
"July 15, 2016",14.90
"July 14, 2016",14.86
"July 13, 2016",14.85
"July 12, 2016",14.78
"July 11, 2016",14.72
