date,market_cap
"Sept. 18, 2017",811.76M
"Sept. 15, 2017",846.99M
"Sept. 14, 2017",849.93M
"Sept. 13, 2017",860.21M
"Sept. 12, 2017",852.87M
"Sept. 11, 2017",852.87M
"Sept. 8, 2017",852.87M
"Sept. 7, 2017",857.27M
"Sept. 6, 2017",849.93M
"Sept. 5, 2017",845.53M
"Sept. 1, 2017",854.33M
"Aug. 31, 2017",848.46M
"Aug. 30, 2017",824.98M
"Aug. 29, 2017",845.53M
"Aug. 28, 2017",835.25M
"Aug. 25, 2017",835.25M
"Aug. 24, 2017",833.78M
"Aug. 23, 2017",835.25M
"Aug. 22, 2017",838.19M
"Aug. 21, 2017",842.59M
"Aug. 18, 2017",822.04M
"Aug. 17, 2017",808.83M
"Aug. 16, 2017",807.36M
"Aug. 15, 2017",801.49M
"Aug. 14, 2017",769.19M
"Aug. 11, 2017",754.52M
"Aug. 10, 2017",758.92M
"Aug. 9, 2017",769.19M
"Aug. 8, 2017",773.97M
"Aug. 7, 2017",759.28M
"Aug. 4, 2017",759.28M
"Aug. 3, 2017",772.50M
"Aug. 2, 2017",772.50M
"Aug. 1, 2017",771.03M
"July 31, 2017",785.72M
"July 28, 2017",798.94M
"July 27, 2017",782.78M
"July 26, 2017",801.87M
"July 25, 2017",796.00M
"July 24, 2017",779.84M
"July 21, 2017",778.38M
"July 20, 2017",793.06M
"July 19, 2017",794.53M
"July 18, 2017",801.87M
"July 17, 2017",797.47M
"July 14, 2017",784.25M
"July 13, 2017",756.35M
"July 12, 2017",749.00M
"July 11, 2017",740.19M
"July 10, 2017",732.85M
"July 7, 2017",724.04M
"July 6, 2017",726.97M
"July 5, 2017",746.07M
"July 3, 2017",768.09M
"June 30, 2017",769.56M
"June 29, 2017",771.82M
"June 28, 2017",793.87M
"June 27, 2017",782.11M
"June 26, 2017",779.17M
"June 23, 2017",785.05M
"June 22, 2017",779.17M
"June 21, 2017",776.23M
"June 20, 2017",783.58M
"June 19, 2017",780.64M
"June 16, 2017",771.82M
"June 15, 2017",767.41M
"June 14, 2017",748.30M
"June 13, 2017",752.71M
"June 12, 2017",758.59M
"June 9, 2017",752.71M
"June 8, 2017",764.47M
"June 7, 2017",767.41M
"June 6, 2017",765.94M
"June 5, 2017",770.35M
"June 2, 2017",783.58M
"June 1, 2017",768.88M
"May 31, 2017",768.88M
"May 30, 2017",782.11M
"May 26, 2017",779.17M
"May 25, 2017",770.35M
"May 24, 2017",777.70M
"May 23, 2017",773.29M
"May 22, 2017",770.35M
"May 19, 2017",787.99M
"May 18, 2017",780.64M
"May 17, 2017",893.84M
"May 16, 2017",902.77M
"May 15, 2017",892.48M
"May 12, 2017",908.65M
"May 11, 2017",920.42M
"May 10, 2017",914.54M
"May 9, 2017",902.77M
"May 8, 2017",893.95M
"May 5, 2017",893.95M
"May 4, 2017",876.31M
"May 3, 2017",888.07M
"May 2, 2017",895.42M
"May 1, 2017",896.89M
"April 28, 2017",898.36M
"April 27, 2017",895.42M
"April 26, 2017",892.48M
"April 25, 2017",901.30M
"April 24, 2017",904.24M
"April 21, 2017",904.24M
"April 20, 2017",904.24M
"April 19, 2017",899.83M
"April 18, 2017",907.18M
"April 17, 2017",910.12M
"April 13, 2017",916.01M
"April 12, 2017",924.83M
"April 11, 2017",918.95M
"April 10, 2017",924.83M
"April 7, 2017",898.36M
"April 6, 2017",927.77M
"April 5, 2017",917.48M
"April 4, 2017",923.36M
"April 3, 2017",921.89M
"March 31, 2017",920.42M
"March 30, 2017",925.93M
"March 29, 2017",920.05M
"March 28, 2017",906.82M
"March 27, 2017",909.76M
"March 24, 2017",902.41M
"March 23, 2017",899.47M
"March 22, 2017",883.31M
"March 21, 2017",880.37M
"March 20, 2017",877.43M
"March 17, 2017",875.96M
"March 16, 2017",877.43M
"March 15, 2017",889.18M
"March 14, 2017",850.97M
"March 13, 2017",861.26M
"March 10, 2017",868.61M
"March 9, 2017",853.91M
"March 8, 2017",868.61M
"March 7, 2017",874.49M
"March 6, 2017",850.97M
"March 3, 2017",858.32M
"March 2, 2017",849.50M
"March 1, 2017",850.97M
"Feb. 28, 2017",840.68M
"Feb. 27, 2017",857.37M
"Feb. 24, 2017",861.81M
"Feb. 23, 2017",878.89M
"Feb. 22, 2017",869.20M
"Feb. 21, 2017",866.24M
"Feb. 17, 2017",864.76M
"Feb. 16, 2017",863.28M
"Feb. 15, 2017",869.20M
"Feb. 14, 2017",860.33M
"Feb. 13, 2017",857.37M
"Feb. 10, 2017",864.76M
"Feb. 9, 2017",842.59M
"Feb. 8, 2017",889.89M
"Feb. 7, 2017",873.63M
"Feb. 6, 2017",888.41M
"Feb. 3, 2017",876.59M
"Feb. 2, 2017",867.72M
"Feb. 1, 2017",870.68M
"Jan. 31, 2017",878.07M
"Jan. 30, 2017",858.85M
"Jan. 27, 2017",864.76M
"Jan. 26, 2017",864.76M
"Jan. 25, 2017",861.81M
"Jan. 24, 2017",848.50M
"Jan. 23, 2017",826.33M
"Jan. 20, 2017",820.42M
"Jan. 19, 2017",814.50M
"Jan. 18, 2017",808.59M
"Jan. 17, 2017",813.02M
"Jan. 13, 2017",811.55M
"Jan. 12, 2017",810.07M
"Jan. 11, 2017",802.68M
"Jan. 10, 2017",799.72M
"Jan. 9, 2017",799.72M
"Jan. 6, 2017",804.15M
"Jan. 5, 2017",802.68M
"Jan. 4, 2017",818.94M
"Jan. 3, 2017",804.15M
"Dec. 30, 2016",807.11M
"Dec. 29, 2016",805.63M
"Dec. 28, 2016",789.37M
"Dec. 27, 2016",783.46M
"Dec. 23, 2016",781.98M
"Dec. 22, 2016",783.46M
"Dec. 21, 2016",795.29M
"Dec. 20, 2016",779.03M
"Dec. 19, 2016",789.37M
"Dec. 16, 2016",793.65M
"Dec. 15, 2016",789.21M
"Dec. 14, 2016",777.39M
"Dec. 13, 2016",809.91M
"Dec. 12, 2016",833.55M
"Dec. 9, 2016",836.51M
"Dec. 8, 2016",832.07M
"Dec. 7, 2016",820.25M
"Dec. 6, 2016",824.68M
"Dec. 5, 2016",826.16M
"Dec. 2, 2016",826.16M
"Dec. 1, 2016",836.51M
"Nov. 30, 2016",806.95M
"Nov. 29, 2016",811.38M
"Nov. 28, 2016",814.34M
"Nov. 25, 2016",811.38M
"Nov. 23, 2016",798.08M
"Nov. 22, 2016",790.69M
"Nov. 21, 2016",801.04M
"Nov. 18, 2016",793.65M
"Nov. 17, 2016",784.78M
"Nov. 16, 2016",768.52M
"Nov. 15, 2016",756.70M
"Nov. 14, 2016",736.01M
"Nov. 11, 2016",721.23M
"Nov. 10, 2016",743.40M
"Nov. 9, 2016",727.14M
"Nov. 8, 2016",747.83M
"Nov. 7, 2016",753.74M
"Nov. 4, 2016",759.66M
"Nov. 3, 2016",749.31M
"Nov. 2, 2016",756.70M
"Nov. 1, 2016",771.48M
"Oct. 31, 2016",774.44M
"Oct. 28, 2016",786.26M
"Oct. 27, 2016",793.65M
"Oct. 26, 2016",793.65M
"Oct. 25, 2016",792.17M
"Oct. 24, 2016",789.21M
"Oct. 21, 2016",795.13M
"Oct. 20, 2016",801.04M
